#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial1-newbox-10Nov
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - SC7-523-205 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/10/2025	12/31/2000	20.027	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1011.972	28.274	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
10-11-2025	19:38:51.647	0.196	184.215	21.305	497	0	OK	10-11-2025	19:38:51.647	0.196	28.423	OK	10-11-2025	19:38:51.647	0.196	1013	OK
10-11-2025	19:38:53.647	2.196	184.180	21.307	497	0	OK	10-11-2025	19:38:53.647	2.196	28.423	OK	10-11-2025	19:38:53.647	2.196	1013	OK
10-11-2025	19:38:55.647	4.196	184.185	21.307	497	0	OK	10-11-2025	19:38:55.647	4.196	28.422	OK	10-11-2025	19:38:55.647	4.196	1013	OK
10-11-2025	19:38:57.647	6.196	184.292	21.301	497	0	OK	10-11-2025	19:38:57.647	6.196	28.421	OK	10-11-2025	19:38:57.647	6.196	1013	OK
10-11-2025	19:38:59.647	8.195	184.143	21.310	497	0	OK	10-11-2025	19:38:59.647	8.195	28.420	OK	10-11-2025	19:38:59.647	8.195	1013	OK
10-11-2025	19:39:01.647	10.196	184.177	21.308	497	-1	OK	10-11-2025	19:39:01.647	10.196	28.420	OK	10-11-2025	19:39:01.647	10.196	1013	OK
10-11-2025	19:39:03.646	12.195	184.018	21.317	497	0	OK	10-11-2025	19:39:03.646	12.195	28.421	OK	10-11-2025	19:39:03.646	12.195	1013	OK
10-11-2025	19:39:05.646	14.195	184.190	21.307	497	0	OK	10-11-2025	19:39:05.646	14.195	28.421	OK	10-11-2025	19:39:05.646	14.195	1013	OK
10-11-2025	19:39:07.646	16.195	184.194	21.307	497	-1	OK	10-11-2025	19:39:07.646	16.195	28.420	OK	10-11-2025	19:39:07.646	16.195	1013	OK
10-11-2025	19:39:09.648	18.196	184.207	21.306	497	0	OK	10-11-2025	19:39:09.648	18.196	28.421	OK	10-11-2025	19:39:09.648	18.196	1013	OK
10-11-2025	19:39:11.647	20.196	184.090	21.312	496	0	OK	10-11-2025	19:39:11.647	20.196	28.424	OK	10-11-2025	19:39:11.647	20.196	1013	OK
10-11-2025	19:39:13.653	22.202	184.117	21.311	497	0	OK	10-11-2025	19:39:13.653	22.202	28.422	OK	10-11-2025	19:39:13.653	22.202	1013	OK
10-11-2025	19:39:15.649	24.198	184.070	21.314	497	0	OK	10-11-2025	19:39:15.649	24.198	28.421	OK	10-11-2025	19:39:15.649	24.198	1013	OK
10-11-2025	19:39:17.671	26.220	184.190	21.307	497	-1	OK	10-11-2025	19:39:17.671	26.220	28.421	OK	10-11-2025	19:39:17.671	26.220	1013	OK
10-11-2025	19:39:19.656	28.204	184.171	21.307	497	0	OK	10-11-2025	19:39:19.656	28.204	28.425	OK	10-11-2025	19:39:19.656	28.204	1013	OK
