#--- Experiment --------------------------------------------------------------------------
#O
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SC7-525-209 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/11/2025	12/31/2000	20.957	52.500	0.804000	0.095680	4000	-0.081700	0.969000	0.584349	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.528	28.003	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
11-11-2025	18:55:23.440	0.066	200.420	21.759	473	-1	OK	11-11-2025	18:55:23.440	0.066	26.749	OK	11-11-2025	18:55:23.440	0.066	1012	OK
11-11-2025	18:55:28.439	5.064	200.422	21.760	473	-1	OK	11-11-2025	18:55:28.439	5.064	26.745	OK	11-11-2025	18:55:28.439	5.064	1012	OK
11-11-2025	18:55:33.440	10.065	200.430	21.759	473	-1	OK	11-11-2025	18:55:33.440	10.065	26.747	OK	11-11-2025	18:55:33.440	10.065	1012	OK
11-11-2025	18:55:38.518	15.143	200.318	21.764	473	-1	OK	11-11-2025	18:55:38.518	15.143	26.751	OK	11-11-2025	18:55:38.518	15.143	1012	OK
11-11-2025	18:55:43.443	20.068	200.071	21.778	473	-1	OK	11-11-2025	18:55:43.443	20.068	26.749	OK	11-11-2025	18:55:43.443	20.068	1012	OK
11-11-2025	18:55:48.518	25.143	200.328	21.764	473	0	OK	11-11-2025	18:55:48.518	25.143	26.749	OK	11-11-2025	18:55:48.518	25.143	1012	OK
11-11-2025	18:55:53.518	30.143	200.102	21.776	473	0	OK	11-11-2025	18:55:53.518	30.143	26.750	OK	11-11-2025	18:55:53.518	30.143	1012	OK
11-11-2025	18:55:58.514	35.140	200.228	21.770	473	0	OK	11-11-2025	18:55:58.514	35.140	26.747	OK	11-11-2025	18:55:58.514	35.140	1012	OK
11-11-2025	18:56:03.590	40.215	200.208	21.770	473	-1	OK	11-11-2025	18:56:03.590	40.215	26.751	OK	11-11-2025	18:56:03.590	40.215	1012	OK
11-11-2025	18:56:08.594	45.219	200.368	21.761	473	0	OK	11-11-2025	18:56:08.594	45.219	26.752	OK	11-11-2025	18:56:08.594	45.219	1012	OK
11-11-2025	18:56:13.665	50.290	200.415	21.759	473	0	OK	11-11-2025	18:56:13.665	50.290	26.750	OK	11-11-2025	18:56:13.665	50.290	1012	OK
11-11-2025	18:56:18.592	55.218	200.336	21.763	473	0	OK	11-11-2025	18:56:18.592	55.218	26.751	OK	11-11-2025	18:56:18.592	55.218	1011	OK
11-11-2025	18:56:23.591	60.216	200.387	21.760	473	0	OK	11-11-2025	18:56:23.591	60.216	26.752	OK	11-11-2025	18:56:23.591	60.216	1012	OK
11-11-2025	18:56:28.597	65.222	200.432	21.757	473	0	OK	11-11-2025	18:56:28.597	65.222	26.754	OK	11-11-2025	18:56:28.597	65.222	1012	OK
11-11-2025	18:56:33.593	70.218	200.290	21.765	473	-1	OK	11-11-2025	18:56:33.593	70.218	26.753	OK	11-11-2025	18:56:33.593	70.218	1012	OK
11-11-2025	18:56:38.593	75.218	200.298	21.764	473	0	OK	11-11-2025	18:56:38.593	75.218	26.755	OK	11-11-2025	18:56:38.593	75.218	1012	OK
11-11-2025	18:56:43.592	80.218	200.288	21.764	473	0	OK	11-11-2025	18:56:43.592	80.218	26.757	OK	11-11-2025	18:56:43.592	80.218	1012	OK
11-11-2025	18:56:48.596	85.222	200.490	21.753	473	0	OK	11-11-2025	18:56:48.596	85.222	26.757	OK	11-11-2025	18:56:48.596	85.222	1012	OK
11-11-2025	18:56:53.594	90.219	200.249	21.765	473	-1	OK	11-11-2025	18:56:53.594	90.219	26.761	OK	11-11-2025	18:56:53.594	90.219	1012	OK
11-11-2025	18:56:58.592	95.217	200.559	21.749	473	-1	OK	11-11-2025	18:56:58.592	95.217	26.758	OK	11-11-2025	18:56:58.592	95.217	1012	OK
11-11-2025	18:57:03.593	100.218	200.306	21.763	473	0	OK	11-11-2025	18:57:03.593	100.218	26.757	OK	11-11-2025	18:57:03.593	100.218	1012	OK
11-11-2025	18:57:08.593	105.219	200.321	21.763	473	-1	OK	11-11-2025	18:57:08.593	105.219	26.754	OK	11-11-2025	18:57:08.593	105.219	1012	OK
11-11-2025	18:57:13.596	110.221	200.314	21.762	473	0	OK	11-11-2025	18:57:13.596	110.221	26.759	OK	11-11-2025	18:57:13.596	110.221	1012	OK
11-11-2025	18:57:18.594	115.219	200.441	21.754	473	0	OK	11-11-2025	18:57:18.594	115.219	26.763	OK	11-11-2025	18:57:18.594	115.219	1012	OK
11-11-2025	18:57:23.618	120.243	200.286	21.763	473	0	OK	11-11-2025	18:57:23.618	120.243	26.761	OK	11-11-2025	18:57:23.618	120.243	1012	OK
11-11-2025	18:57:28.595	125.220	200.254	21.765	473	-1	OK	11-11-2025	18:57:28.595	125.220	26.760	OK	11-11-2025	18:57:28.595	125.220	1012	OK
11-11-2025	18:57:33.599	130.224	200.388	21.758	473	0	OK	11-11-2025	18:57:33.599	130.224	26.759	OK	11-11-2025	18:57:33.599	130.224	1012	OK
11-11-2025	18:57:38.597	135.222	200.083	21.774	473	0	OK	11-11-2025	18:57:38.597	135.222	26.761	OK	11-11-2025	18:57:38.597	135.222	1012	OK
11-11-2025	18:57:43.595	140.220	200.281	21.763	473	-1	OK	11-11-2025	18:57:43.595	140.220	26.762	OK	11-11-2025	18:57:43.595	140.220	1012	OK
11-11-2025	18:57:48.672	145.297	200.279	21.762	473	0	OK	11-11-2025	18:57:48.672	145.297	26.766	OK	11-11-2025	18:57:48.672	145.297	1012	OK
11-11-2025	18:57:53.666	150.292	200.244	21.765	473	0	OK	11-11-2025	18:57:53.666	150.292	26.762	OK	11-11-2025	18:57:53.666	150.292	1012	OK
11-11-2025	18:57:58.668	155.294	200.181	21.767	473	-1	OK	11-11-2025	18:57:58.668	155.294	26.767	OK	11-11-2025	18:57:58.668	155.294	1012	OK
11-11-2025	18:58:03.673	160.298	200.444	21.753	473	-1	OK	11-11-2025	18:58:03.673	160.298	26.766	OK	11-11-2025	18:58:03.673	160.298	1012	OK
11-11-2025	18:58:08.669	165.295	200.431	21.754	473	-1	OK	11-11-2025	18:58:08.669	165.295	26.765	OK	11-11-2025	18:58:08.669	165.295	1012	OK
11-11-2025	18:58:13.670	170.296	200.339	21.759	473	-1	OK	11-11-2025	18:58:13.670	170.296	26.765	OK	11-11-2025	18:58:13.670	170.296	1012	OK
11-11-2025	18:58:18.669	175.294	200.212	21.767	473	0	OK	11-11-2025	18:58:18.669	175.294	26.761	OK	11-11-2025	18:58:18.669	175.294	1012	OK
11-11-2025	18:58:23.673	180.298	200.362	21.758	473	-1	OK	11-11-2025	18:58:23.673	180.298	26.764	OK	11-11-2025	18:58:23.673	180.298	1012	OK
11-11-2025	18:58:28.669	185.295	200.367	21.758	473	0	OK	11-11-2025	18:58:28.669	185.295	26.763	OK	11-11-2025	18:58:28.669	185.295	1012	OK
11-11-2025	18:58:33.673	190.299	200.341	21.760	473	0	OK	11-11-2025	18:58:33.673	190.299	26.761	OK	11-11-2025	18:58:33.673	190.299	1012	OK
