#--- Experiment --------------------------------------------------------------------------
#O
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
11-11-2025	18:55:28.734	5.359	26.745	OK
11-11-2025	18:55:33.738	10.364	26.747	OK
11-11-2025	18:55:38.743	15.368	26.751	OK
11-11-2025	18:55:43.759	20.384	26.748	OK
11-11-2025	18:55:48.743	25.369	26.748	OK
11-11-2025	18:55:53.741	30.367	26.750	OK
11-11-2025	18:55:58.740	35.365	26.747	OK
11-11-2025	18:56:03.737	40.362	26.751	OK
11-11-2025	18:56:08.743	45.368	26.751	OK
11-11-2025	18:56:13.738	50.363	26.749	OK
11-11-2025	18:56:18.742	55.367	26.751	OK
11-11-2025	18:56:23.738	60.363	26.752	OK
11-11-2025	18:56:28.741	65.366	26.754	OK
11-11-2025	18:56:33.738	70.363	26.752	OK
11-11-2025	18:56:38.751	75.376	26.755	OK
11-11-2025	18:56:43.740	80.365	26.757	OK
11-11-2025	18:56:48.744	85.369	26.757	OK
11-11-2025	18:56:53.742	90.367	26.761	OK
11-11-2025	18:56:58.739	95.365	26.758	OK
11-11-2025	18:57:03.742	100.367	26.757	OK
11-11-2025	18:57:08.740	105.365	26.754	OK
11-11-2025	18:57:13.746	110.371	26.759	OK
11-11-2025	18:57:18.743	115.368	26.762	OK
11-11-2025	18:57:23.766	120.391	26.762	OK
11-11-2025	18:57:28.744	125.369	26.760	OK
11-11-2025	18:57:33.746	130.371	26.761	OK
11-11-2025	18:57:38.744	135.370	26.760	OK
11-11-2025	18:57:43.743	140.369	26.763	OK
11-11-2025	18:57:48.747	145.372	26.766	OK
11-11-2025	18:57:53.741	150.366	26.762	OK
11-11-2025	18:57:58.742	155.368	26.767	OK
11-11-2025	18:58:03.747	160.372	26.766	OK
11-11-2025	18:58:08.744	165.369	26.765	OK
11-11-2025	18:58:13.745	170.370	26.765	OK
11-11-2025	18:58:18.744	175.369	26.761	OK
11-11-2025	18:58:23.749	180.374	26.764	OK
11-11-2025	18:58:28.742	185.367	26.764	OK
11-11-2025	18:58:33.747	190.373	26.761	OK
11-11-2025	18:58:38.745	195.371	26.762	OK
11-11-2025	18:58:43.748	200.373	26.765	OK
11-11-2025	18:58:48.745	205.370	26.763	OK
11-11-2025	18:58:53.746	210.372	26.766	OK
11-11-2025	18:58:58.749	215.374	26.768	OK
11-11-2025	18:59:03.747	220.373	26.768	OK
11-11-2025	18:59:08.742	225.367	26.770	OK
