seconds	hours	Ch1	Ch2	Ch3	Ch4	Temp
3.627	0.0010075	214.638	200.924	189.417	187.523	26.493
8.627	0.002396389	214.623	200.886	189.172	187.564	26.494
13.627	0.003785278	214.628	200.971	189.269	187.49	26.492
18.626	0.005173889	214.487	200.846	189.252	187.547	26.491
23.627	0.006563056	214.496	201.033	189.339	187.646	26.491
28.627	0.007951944	214.685	200.948	189.374	187.413	26.493
33.627	0.009340833	214.599	201	189.266	187.621	26.49
38.628	0.01073	214.625	200.977	189.301	187.453	26.491
43.628	0.012118889	214.549	200.893	189.429	187.527	26.489
48.638	0.013510556	214.623	200.781	189.265	187.456	26.488
53.628	0.014896667	214.438	200.966	189.292	187.46	26.493
58.628	0.016285556	214.693	200.92	189.295	187.498	26.491
63.628	0.017674444	214.568	200.76	189.227	187.408	26.493
68.627	0.019063056	214.685	200.864	189.359	187.534	26.491
73.628	0.020452222	214.63	200.687	189.294	187.341	26.489
78.628	0.021841111	214.586	200.642	189.193	187.363	26.487
83.627	0.023229722	214.843	201.021	189.189	187.299	26.486
88.628	0.024618889	214.817	200.932	189.206	187.297	26.485
93.628	0.026007778	214.69	200.869	189.092	187.289	26.49
98.628	0.027396667	214.742	200.783	189.356	187.354	26.486
103.628	0.028785556	214.801	200.88	189.149	187.28	26.488
108.628	0.030174444	214.762	200.898	189.071	187.366	26.488
113.627	0.031563056	214.317	200.781	189.254	187.305	26.489
118.63	0.032952778	214.727	200.603	189.251	187.311	26.491
123.629	0.034341389	214.635	200.609	189.298	187.163	26.486
128.628	0.03573	214.636	200.754	189.263	187.311	26.487
133.629	0.037119167	214.802	200.74	189.259	187.355	26.486
138.629	0.038508056	214.626	200.657	189.326	187.237	26.484
143.63	0.039897222	214.718	200.778	189.308	187.101	26.486
148.629	0.041285833	214.656	200.761	189.298	187.111	26.482
153.628	0.042674444	214.751	200.786	189.187	187.129	26.488
158.63	0.044063889	214.751	200.786	189.131	187.146	26.488
163.63	0.045452778	214.524	200.773	189.057	187.243	26.487
168.632	0.046842222	214.588	200.677	189.134	187.322	26.493
173.631	0.048230833	214.7	200.565	189.204	187.107	26.491
178.63	0.049619444	214.626	200.664	188.887	187.198	26.49
183.63	0.051008333	214.619	200.674	188.987	187.314	26.488
188.631	0.0523975	214.861	200.538	189.157	187.245	26.49
193.631	0.053786389	214.7	200.631	188.999	187.137	26.49
198.631	0.055175278	214.623	200.659	188.902	187.114	26.491
203.632	0.056564444	214.775	200.565	188.877	187.036	26.491
208.631	0.057953056	214.582	200.555	188.823	187.088	26.493
213.632	0.059342222	214.522	200.475	188.85	187.091	26.494
218.632	0.060731111	214.891	200.414	188.753	187.058	26.495
223.632	0.06212	214.551	200.597	188.967	187.034	26.492
228.632	0.063508889	214.572	200.59	188.836	187.012	26.497
233.633	0.064898056	214.682	200.478	188.756	186.948	26.497
238.633	0.066286944	214.716	200.468	188.777	186.99	26.498
243.633	0.067675833	214.682	200.319	188.704	186.869	26.499
248.634	0.069065	214.55	200.436	188.599	186.899	26.498
253.634	0.070453889	214.323	200.388	188.585	187.02	26.5
258.642	0.071845	214.509	200.38	188.647	186.857	26.499
263.635	0.073231944	214.744	200.263	188.579	186.92	26.498
268.635	0.074620833	214.465	200.373	188.661	187.022	26.492
273.636	0.07601	214.605	200.372	188.642	187.15	26.496
278.635	0.077398611	214.491	200.572	188.569	186.997	26.497
283.635	0.0787875	214.636	200.358	188.602	187.086	26.495
288.637	0.080176944	214.546	200.558	188.522	187.056	26.496
293.635	0.081565278	214.586	200.465	188.452	187.125	26.496
298.635	0.082954167	214.689	200.545	188.571	187.139	26.495
303.636	0.084343333	214.513	200.517	188.524	187.238	26.493
308.636	0.085732222	214.665	200.489	188.638	187.023	26.494
313.635	0.087120833	214.678	200.349	188.509	187.308	26.493
318.635	0.088509722	214.744	200.395	188.353	187.221	26.495
323.635	0.089898611	214.632	200.47	188.527	187.155	26.495
328.635	0.0912875	214.61	200.558	188.515	187.241	26.496
333.635	0.092676389	214.585	200.385	188.49	187.274	26.497
338.636	0.094065556	214.429	200.327	188.398	187.214	26.501
343.636	0.095454444	214.59	200.351	188.364	187.17	26.5
348.636	0.096843333	214.387	200.346	188.27	187.39	26.501
353.637	0.0982325	214.801	200.336	188.392	187.42	26.502
358.639	0.099621944	214.81	200.341	188.175	187.319	26.502
363.639	0.101010833	214.396	200.339	188.178	187.169	26.506
368.64	0.1024	214.678	200.382	188.203	187.334	26.505
373.64	0.103788889	214.557	200.317	188.27	187.329	26.503
378.639	0.1051775	214.603	200.275	188.322	187.342	26.504
383.639	0.106566389	214.623	200.419	188.273	187.287	26.505
388.64	0.107955556	214.577	200.453	188.305	187.176	26.502
393.639	0.109344167	214.398	200.371	188.387	187.049	26.507
398.639	0.110733056	214.557	200.458	188.387	187.099	26.501
403.64	0.112122222	214.504	200.259	188.384	187.114	26.507
408.639	0.113510833	214.537	200.234	188.362	187.06	26.501
413.64	0.1149	214.623	200.232	188.292	187.07	26.505
418.639	0.116288611	214.623	199.977	188.327	186.927	26.504
423.64	0.117677778	214.31	200.176	188.305	186.988	26.505
428.64	0.119066667	214.779	199.907	188.344	186.917	26.503
433.64	0.120455556	214.783	199.775	188.39	186.93	26.507
438.642	0.121845	214.75	199.789	188.287	187.073	26.508
443.642	0.123233889	214.446	199.701	188.251	186.866	26.507
448.641	0.1246225	214.656	199.64	188.124	186.666	26.508
453.643	0.126011944	214.493	199.584	188.132	186.643	26.508
458.644	0.127401111	214.455	199.535	188.02	186.735	26.514
463.645	0.128790278	214.64	199.481	188.088	186.561	26.51
468.645	0.130179167	214.746	199.355	188.123	186.751	26.513
473.646	0.131568333	214.336	199.249	188.001	186.328	26.513
478.646	0.132957222	214.475	199.159	188.085	186.46	26.515
483.646	0.134346111	214.534	199.333	187.962	186.492	26.51
488.647	0.135735278	214.629	199.312	188.17	186.377	26.514
493.647	0.137124167	214.424	199.267	188.167	186.519	26.512
498.647	0.138513056	214.563	199.286	188.2	186.436	26.512
503.647	0.139901944	214.614	199.299	188.093	186.377	26.513
508.646	0.141290556	214.613	199.328	188.061	186.294	26.511
513.646	0.142679444	214.524	199.21	188.102	186.313	26.516
518.647	0.144068611	214.66	199.336	187.988	186.36	26.513
523.648	0.145457778	214.548	199.23	188.07	186.461	26.512
528.648	0.146846667	214.431	199.149	188.029	186.444	26.517
533.649	0.148235833	214.477	199.252	187.922	186.294	26.515
538.648	0.149624444	214.592	199.127	187.952	186.284	26.514
543.648	0.151013333	214.627	199.168	187.912	186.353	26.517
548.647	0.152401944	214.375	199.093	187.903	186.361	26.517
553.65	0.153791667	214.647	199.194	187.925	186.091	26.519
558.65	0.155180556	214.561	199.046	187.886	186.236	26.519
563.65	0.156569444	214.637	199.009	187.782	186.265	26.519
568.651	0.157958611	214.697	198.999	187.708	186.214	26.522
573.649	0.159346944	214.512	198.925	187.727	186.228	26.521
578.65	0.160736111	214.585	198.917	187.906	186.123	26.519
583.65	0.162125	214.591	198.859	187.78	186.196	26.523
588.651	0.163514167	214.605	198.809	187.715	186.089	26.521
593.65	0.164902778	214.571	199.012	187.824	186.437	26.522
598.651	0.166291944	214.404	198.777	187.668	186.165	26.521
603.652	0.167681111	214.66	198.97	187.762	186.17	26.523
608.651	0.169069722	214.501	198.809	187.804	186.248	26.522
613.653	0.170459167	214.58	198.933	187.658	186.317	26.522
618.653	0.171848056	214.58	198.809	187.75	186.221	26.521
623.653	0.173236944	214.419	198.743	187.715	186.067	26.524
628.654	0.174626111	214.432	198.735	187.661	186.121	26.522
633.654	0.176015	214.618	198.567	187.765	186.207	26.526
638.654	0.177403889	214.453	198.72	187.651	185.891	26.526
643.655	0.178793056	214.69	198.748	187.641	186.114	26.523
648.654	0.180181667	214.695	198.656	187.723	186.143	26.523
653.654	0.181570556	214.347	198.54	187.54	186.165	26.524
658.654	0.182959444	214.464	198.55	187.616	186.145	26.522
663.654	0.184348333	214.453	198.69	187.473	185.951	26.521
668.654	0.185737222	214.637	198.587	187.599	186.086	26.522
673.655	0.187126389	214.344	198.626	187.715	186.054	26.518
678.656	0.188515556	214.329	198.624	187.564	186.192	26.522
683.655	0.189904167	214.468	198.624	187.607	185.915	26.521
688.655	0.191293056	214.433	198.461	187.355	186.15	26.526
693.655	0.192681944	214.525	198.394	187.656	186.145	26.52
698.655	0.194070833	214.499	198.592	187.485	186.135	26.521
703.656	0.19546	214.717	198.508	187.475	186.047	26.523
708.656	0.196848889	214.726	198.366	187.658	186.179	26.521
713.658	0.198238333	214.697	198.334	187.47	186.194	26.521
718.655	0.199626389	214.747	198.289	187.451	186.133	26.519
723.656	0.201015556	214.581	198.394	187.522	186.108	26.52
728.656	0.202404444	214.47	198.423	187.487	186.268	26.518
733.656	0.203793333	214.64	198.342	187.451	185.954	26.524
738.657	0.2051825	214.402	198.337	187.731	185.903	26.524
743.657	0.206571389	214.373	198.259	187.528	185.986	26.525
748.657	0.207960278	214.247	198.237	187.584	186.087	26.522
753.658	0.209349444	214.397	198.203	187.57	185.954	26.526
758.659	0.210738611	214.472	198.24	187.479	185.918	26.526
763.658	0.212127222	214.398	198.202	187.584	186.003	26.529
768.66	0.213516667	214.261	198.269	187.498	185.965	26.523
773.659	0.214905278	214.38	198.183	187.4	185.918	26.529
778.659	0.216294167	214.547	198.064	187.553	186.116	26.529
783.66	0.217683333	214.38	198.078	187.353	185.889	26.528
788.66	0.219072222	214.472	198.078	187.375	185.953	26.528
793.661	0.220461389	214.459	197.967	187.416	185.865	26.528
798.662	0.221850556	214.501	198.084	187.504	185.953	26.534
803.662	0.223239444	214.763	197.999	187.573	185.84	26.53
