seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,18:28:19,193.27,183.13,174.73,216.64,26.983
5.0,0.001388889,18:28:24,193.2,183.12,174.7,216.75,26.984
10.0,0.002777778,18:28:29,193.19,183.13,174.67,216.86,26.983
15.0,0.004166667,18:28:34,193.09,183.11,174.64,217.02,26.981
20.0,0.005555556,18:28:39,193.11,183.12,174.64,217.18,26.98
25.0,0.006944444,18:28:44,193.12,183.09,174.62,217.29,26.981
30.0,0.008333333,18:28:49,193.17,183.06,174.59,217.38,26.983
35.0,0.009722222,18:28:54,193.18,183.02,174.54,217.53,26.984
40.0,0.011111111,18:28:59,193.19,183.01,174.52,217.68,26.985
45.0,0.012500000,18:29:04,193.17,183.0,174.5,217.81,26.986
50.0,0.013888889,18:29:09,193.13,183.0,174.48,217.93,26.987
55.0,0.015277778,18:29:14,193.06,182.98,174.45,218.07,26.987
60.0,0.016666667,18:29:19,193.1,182.97,174.41,218.25,26.986
65.0,0.018055556,18:29:24,193.12,182.93,174.35,218.43,26.987
70.0,0.019444444,18:29:29,193.12,182.93,174.32,218.62,26.987
75.0,0.020833333,18:29:34,193.06,182.93,174.3,218.79,26.987
80.0,0.022222222,18:29:39,193.03,182.95,174.31,218.94,26.986
85.0,0.023611111,18:29:44,193.03,182.92,174.32,219.13,26.986
90.0,0.025000000,18:29:49,193.05,182.9,174.29,219.27,26.986
95.0,0.026388889,18:29:54,193.03,182.89,174.27,219.42,26.986
100.0,0.027777778,18:29:59,193.05,182.91,174.22,219.6,26.985
105.0,0.029166667,18:30:04,193.01,182.91,174.19,219.77,26.984
110.0,0.030555556,18:30:09,193.0,182.89,174.16,219.96,26.984
115.0,0.031944444,18:30:14,193.0,182.86,174.16,220.11,26.985
120.0,0.033333333,18:30:19,193.05,182.87,174.14,220.3,26.984
125.0,0.034722222,18:30:24,193.08,182.84,174.13,220.45,26.985
130.0,0.036111111,18:30:29,193.07,182.84,174.12,220.63,26.985
135.0,0.037500000,18:30:34,193.09,182.8,174.11,220.79,26.986
140.0,0.038888889,18:30:39,193.11,182.76,174.07,221.0,26.987
145.0,0.040277778,18:30:44,193.15,182.74,174.02,221.18,26.987
150.0,0.041666667,18:30:49,193.14,182.72,173.99,221.36,26.985
155.0,0.043055556,18:30:54,193.07,182.72,173.97,221.54,26.985
160.0,0.044444444,18:30:59,192.98,182.69,173.93,221.75,26.985
165.0,0.045833333,18:31:04,192.93,182.67,173.88,221.92,26.988
170.0,0.047222222,18:31:09,193.01,182.66,173.85,222.06,26.987
175.0,0.048611111,18:31:14,193.07,182.63,173.84,222.25,26.988
180.0,0.050000000,18:31:19,193.02,182.6,173.85,222.44,26.987
185.0,0.051388889,18:31:24,192.98,182.57,173.82,222.64,26.987
190.0,0.052777778,18:31:29,192.93,182.55,173.82,222.8,26.984
195.0,0.054166667,18:31:34,193.02,182.48,173.79,222.98,26.984
200.0,0.055555556,18:31:39,193.0,182.37,173.81,223.13,26.986
205.0,0.056944444,18:31:44,192.97,182.24,173.78,223.25,26.99
210.0,0.058333333,18:31:49,192.98,182.17,173.76,223.38,26.989
215.0,0.059722222,18:31:54,193.04,182.12,173.7,223.53,26.987
220.0,0.061111111,18:31:59,193.12,182.12,173.69,223.71,26.984
225.0,0.062500000,18:32:04,193.02,182.11,173.66,223.85,26.985
230.0,0.063888889,18:32:09,193.0,182.12,173.68,224.0,26.985
235.0,0.065277778,18:32:14,192.98,182.09,173.64,224.16,26.987
240.0,0.066666667,18:32:19,193.02,182.08,173.62,224.32,26.985
245.0,0.068055556,18:32:24,193.01,182.02,173.6,224.5,26.985
250.0,0.069444444,18:32:29,192.94,182.01,173.59,224.66,26.984
