#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial4-newbox-13Nov
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - TD7-487-066 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	128 ms	30% (D)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	2	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	12/31/2000	11/13/2025	6.600	47.929	0.827000	0.075000	470	-0.350000	0.874000	0.584349	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	27.132	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
13-11-2025	18:52:05.256	1.795	181.501144	7.139000	53	0	OK	13-11-2025	18:52:05.256	1.795	27.012	OK	13-11-2025	18:52:05.256	1.795	1012	OK
13-11-2025	18:52:10.255	6.795	181.991455	7.126000	53	0	OK	13-11-2025	18:52:10.255	6.795	27.007	OK	13-11-2025	18:52:10.255	6.795	1012	OK
13-11-2025	18:52:15.257	11.797	183.390396	7.086000	53	0	OK	13-11-2025	18:52:15.257	11.797	27.016	OK	13-11-2025	18:52:15.257	11.797	1012	OK
13-11-2025	18:52:20.258	16.797	181.507278	7.138000	53	0	OK	13-11-2025	18:52:20.258	16.797	27.018	OK	13-11-2025	18:52:20.258	16.797	1012	OK
13-11-2025	18:52:25.259	21.798	183.416748	7.085000	53	0	OK	13-11-2025	18:52:25.259	21.798	27.018	OK	13-11-2025	18:52:25.259	21.798	1012	OK
13-11-2025	18:52:30.259	26.798	182.260269	7.117000	53	0	OK	13-11-2025	18:52:30.259	26.798	27.018	OK	13-11-2025	18:52:30.259	26.798	1012	OK
13-11-2025	18:52:35.259	31.799	183.562103	7.081000	53	0	OK	13-11-2025	18:52:35.259	31.799	27.018	OK	13-11-2025	18:52:35.259	31.799	1012	OK
13-11-2025	18:52:40.258	36.798	182.924332	7.099000	53	0	OK	13-11-2025	18:52:40.258	36.798	27.015	OK	13-11-2025	18:52:40.258	36.798	1012	OK
13-11-2025	18:52:45.258	41.797	182.682724	7.105000	53	0	OK	13-11-2025	18:52:45.258	41.797	27.020	OK	13-11-2025	18:52:45.258	41.797	1012	OK
13-11-2025	18:52:50.258	46.798	182.697617	7.105000	53	0	OK	13-11-2025	18:52:50.258	46.798	27.017	OK	13-11-2025	18:52:50.258	46.798	1012	OK
13-11-2025	18:52:55.259	51.798	183.572067	7.081000	53	0	OK	13-11-2025	18:52:55.259	51.798	27.016	OK	13-11-2025	18:52:55.259	51.798	1012	OK
13-11-2025	18:53:00.259	56.798	181.746613	7.132000	53	0	OK	13-11-2025	18:53:00.259	56.798	27.013	OK	13-11-2025	18:53:00.259	56.798	1012	OK
13-11-2025	18:53:05.265	61.805	181.772537	7.131000	53	0	OK	13-11-2025	18:53:05.265	61.805	27.015	OK	13-11-2025	18:53:05.265	61.805	1012	OK
13-11-2025	18:53:10.259	66.798	183.463043	7.084000	53	0	OK	13-11-2025	18:53:10.259	66.798	27.016	OK	13-11-2025	18:53:10.259	66.798	1012	OK
13-11-2025	18:53:15.259	71.799	181.700912	7.133000	53	0	OK	13-11-2025	18:53:15.259	71.799	27.015	OK	13-11-2025	18:53:15.259	71.799	1012	OK
