
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	6.500	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.402	1009	100.000	20.950	52.300	19.919	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.500	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.321	1009	100.000	20.950	52.300	19.885	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.500	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.266	1009	100.000	20.950	52.300	19.836	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.500	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.188	1009	100.000	20.950	52.300	19.893	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	6.500	
Data	Smoothing:	3	
Date:	11/14/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/14/2025	18:45:18	0.00		176.13	189.93	103.10	129.16	26.645	26.645	26.645	26.645	1009.76	63.488	26.645	---	---	21.686	20.799	27.841	25.226	512.264	446.401	721.261	428.187	7.339	7.589	7.367	7.320	
11/14/2025	18:45:23	5.00		176.06	189.88	103.43	129.28	26.649	26.649	26.649	26.649	1009.75	63.488	26.649	---	---	21.689	20.801	27.802	25.213	512.300	446.445	720.089	427.866	7.354	7.629	7.377	7.332	
11/14/2025	18:45:28	10.00		176.02	189.81	103.76	129.44	26.652	26.652	26.652	26.652	1009.75	63.488	26.652	---	---	21.691	20.805	27.763	25.198	512.328	446.490	718.899	427.545	7.355	7.629	7.386	7.337	
11/14/2025	18:45:33	15.00		175.99	189.77	104.11	129.61	26.651	26.651	26.651	26.651	1009.74	63.478	26.651	---	---	21.693	20.808	27.723	25.183	512.367	446.540	717.608	427.227	7.313	7.621	7.381	7.321	
11/14/2025	18:45:38	20.00		175.97	189.73	104.47	129.79	26.649	26.649	26.649	26.649	1009.78	63.468	26.649	---	---	21.695	20.810	27.683	25.167	512.403	446.594	716.283	426.900	7.274	7.615	7.401	7.289	
11/14/2025	18:45:43	25.00		175.94	189.70	104.86	129.97	26.646	26.646	26.646	26.646	1009.76	63.448	26.646	---	---	21.698	20.813	27.640	25.152	512.443	446.650	715.021	426.564	7.269	7.626	7.403	7.330	
11/14/2025	18:45:48	30.00		175.92	189.67	105.25	130.15	26.643	26.643	26.643	26.643	1009.78	63.437	26.643	---	---	21.700	20.815	27.597	25.137	512.467	446.700	713.825	426.216	7.298	7.633	7.373	7.332	
11/14/2025	18:45:53	35.00		175.90	189.66	105.65	130.33	26.641	26.641	26.641	26.641	1009.73	63.437	26.641	---	---	21.702	20.817	27.552	25.121	512.495	446.745	712.622	425.869	7.330	7.605	7.363	7.350	
11/14/2025	18:45:58	40.00		175.89	189.65	106.03	130.52	26.636	26.636	26.636	26.636	1009.71	63.448	26.636	---	---	21.703	20.818	27.510	25.105	512.529	446.787	711.389	425.521	7.336	7.604	7.364	7.303	
11/14/2025	18:46:03	45.00		175.89	189.63	106.42	130.71	26.633	26.633	26.633	26.633	1009.72	63.458	26.633	---	---	21.705	20.821	27.468	25.089	512.559	446.824	710.154	425.189	7.315	7.578	7.365	7.319	
11/14/2025	18:46:08	50.00		175.87	189.58	106.79	130.89	26.631	26.631	26.631	26.631	1009.75	63.448	26.631	---	---	21.706	20.824	27.427	25.073	512.585	446.859	708.962	424.850	7.282	7.574	7.354	7.308	
11/14/2025	18:46:13	55.00		175.82	189.57	107.16	131.08	26.632	26.632	26.632	26.632	1009.77	63.437	26.632	---	---	21.709	20.824	27.385	25.056	512.607	446.893	707.783	424.340	7.266	7.572	7.381	7.344	
11/14/2025	18:46:18	60.00		175.77	189.56	107.55	131.28	26.633	26.633	26.633	26.633	1009.78	63.419	26.633	---	---	21.712	20.825	27.343	25.037	512.628	446.928	706.624	423.776	7.300	7.610	7.368	7.343	
