seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
0.0,0.000000000,08:35:56,168.6,171.65,190.81,26.577,26.577
2.3,0.000638889,08:35:58,168.64,171.66,190.82,26.568,26.568
4.6,0.001277778,08:36:01,168.65,171.68,190.82,26.562,26.562
7.01,0.001947222,08:36:03,168.63,171.64,190.79,26.564,26.564
9.47,0.002630556,08:36:06,168.68,171.7,190.88,26.543,26.543
11.91,0.003308333,08:36:08,168.74,171.75,190.93,26.525,26.525
14.35,0.003986111,08:36:10,168.75,171.8,190.97,26.51,26.51
16.78,0.004661111,08:36:13,168.75,171.76,190.97,26.508,26.508
19.26,0.005350000,08:36:15,168.73,171.72,190.98,26.504,26.504
21.79,0.006052778,08:36:18,168.76,171.74,191.0,26.498,26.498
24.28,0.006744444,08:36:20,168.75,171.75,190.98,26.495,26.495
26.8,0.007444444,08:36:23,168.78,171.79,191.0,26.489,26.489
29.34,0.008150000,08:36:25,168.75,171.78,190.98,26.487,26.487
31.86,0.008850000,08:36:28,168.76,171.8,190.99,26.483,26.483
34.36,0.009544444,08:36:30,168.74,171.78,190.96,26.482,26.482
36.88,0.010244444,08:36:33,168.72,171.77,190.93,26.482,26.482
39.39,0.010941667,08:36:35,168.7,171.74,190.92,26.48,26.48
41.93,0.011647222,08:36:38,168.69,171.72,190.94,26.478,26.478
44.45,0.012347222,08:36:41,168.71,171.7,190.96,26.474,26.474
46.97,0.013047222,08:36:43,168.71,171.72,190.96,26.471,26.471
49.5,0.013750000,08:36:46,168.71,171.74,190.94,26.467,26.467
52.05,0.014458333,08:36:48,168.72,171.77,190.94,26.464,26.464
54.61,0.015169444,08:36:51,168.72,171.75,190.93,26.461,26.461
57.13,0.015869444,08:36:53,168.71,171.74,190.96,26.462,26.462
59.64,0.016566667,08:36:56,168.7,171.72,190.94,26.462,26.462
62.16,0.017266667,08:36:58,168.69,171.68,190.92,26.465,26.465
64.68,0.017966667,08:37:01,168.69,171.66,190.88,26.462,26.462
67.21,0.018669444,08:37:03,168.68,171.64,190.88,26.462,26.462
69.72,0.019366667,08:37:06,168.68,171.66,190.87,26.46,26.46
72.25,0.020069444,08:37:08,168.68,171.69,190.88,26.459,26.459
74.79,0.020775000,08:37:11,168.68,171.67,190.86,26.458,26.458
77.32,0.021477778,08:37:13,168.66,171.68,190.85,26.455,26.455
79.84,0.022177778,08:37:16,168.64,171.67,190.84,26.455,26.455
82.37,0.022880556,08:37:18,168.64,171.7,190.84,26.452,26.452
84.89,0.023580556,08:37:21,168.64,171.67,190.84,26.454,26.454
87.42,0.024283333,08:37:24,168.64,171.66,190.83,26.453,26.453
89.94,0.024983333,08:37:26,168.63,171.64,190.83,26.452,26.452
92.45,0.025680556,08:37:29,168.64,171.64,190.83,26.449,26.449
94.96,0.026377778,08:37:31,168.63,171.62,190.83,26.448,26.448
97.48,0.027077778,08:37:34,168.64,171.61,190.84,26.448,26.448
100.02,0.027783333,08:37:36,168.64,171.6,190.83,26.448,26.448
102.29,0.028413889,08:37:38,168.59,171.55,190.76,26.46,26.46
104.56,0.029044444,08:37:41,168.52,171.5,190.68,26.474,26.474
106.83,0.029675000,08:37:43,168.46,171.44,190.62,26.487,26.487
109.23,0.030341667,08:37:45,168.48,171.46,190.66,26.482,26.482
111.75,0.031041667,08:37:48,168.53,171.51,190.71,26.471,26.471
114.29,0.031747222,08:37:50,168.58,171.59,190.77,26.454,26.454
116.82,0.032450000,08:37:53,168.59,171.62,190.78,26.446,26.446
119.37,0.033158333,08:37:55,168.6,171.61,190.81,26.441,26.441
121.87,0.033852778,08:37:58,168.59,171.59,190.79,26.442,26.442
124.37,0.034547222,08:38:00,168.59,171.58,190.8,26.444,26.444
126.88,0.035244444,08:38:03,168.59,171.56,190.78,26.445,26.445
129.38,0.035938889,08:38:05,168.57,171.54,190.78,26.446,26.446
131.89,0.036636111,08:38:08,168.57,171.55,190.78,26.443,26.443
134.39,0.037330556,08:38:10,168.56,171.55,190.77,26.443,26.443
136.91,0.038030556,08:38:13,168.55,171.56,190.78,26.442,26.442
139.42,0.038727778,08:38:16,168.52,171.57,190.79,26.442,26.442
141.93,0.039425000,08:38:18,168.5,171.59,190.77,26.441,26.441
144.42,0.040116667,08:38:21,168.49,171.57,190.78,26.444,26.444
146.93,0.040813889,08:38:23,168.5,171.54,190.75,26.446,26.446
149.45,0.041513889,08:38:26,168.5,171.5,190.75,26.449,26.449
151.97,0.042213889,08:38:28,168.5,171.49,190.72,26.448,26.448
154.49,0.042913889,08:38:31,168.48,171.49,190.71,26.447,26.447
157.01,0.043613889,08:38:33,168.47,171.49,190.7,26.446,26.446
159.56,0.044322222,08:38:36,168.45,171.51,190.71,26.445,26.445
162.07,0.045019444,08:38:38,168.43,171.51,190.71,26.446,26.446
164.58,0.045716667,08:38:41,168.41,171.5,190.7,26.447,26.447
167.08,0.046411111,08:38:43,168.42,171.47,190.7,26.449,26.449
