#--- Experiment --------------------------------------------------------------------------																																																																															
#Ostracods-trial5-light-newbox-																																																																															
#																																																																															
#--- System ------------------------------------------------------------------------------																																																																															
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																																																																															
#AHALVONIK-PC																																																																															
#--- Instrument --------------------------------------------------------------------------																																																																															
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-205 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/14/2025	12/31/2000	20.987	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.167	26.642	100.000	20.000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.2] - Oxygen Sensor - SC7-523-205 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/14/2025	12/31/2000	20.837	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.092	26.639	100.000	20.000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.3] - Oxygen Sensor - SC7-523-205 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/14/2025	12/31/2000	20.853	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.108	26.641	100.000	20.000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A Ch.4] - Oxygen Sensor - SC7-523-205 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	11/14/2025	12/31/2000	20.572	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.296	26.641	100.000	20.000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [A P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																																																															
#--- Measurement Data --------------------------------------------------------------------																																																																															
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (µmol/L) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]	Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (µmol/L) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
15-11-2025	08:37:28.266	1.031	211.952	21.218	628	0	OK	15-11-2025	08:37:28.266	1.031	26.164	OK	15-11-2025	08:37:28.266	1.031	1013	OK	15-11-2025	08:37:28.193	0.957	204.595	21.446	530	0	OK	15-11-2025	08:37:28.193	0.957	26.164	OK	15-11-2025	08:37:28.193	0.957	1013	OK	15-11-2025	08:37:28.338	1.103	204.340	21.476	524	0	OK	15-11-2025	08:37:28.338	1.103	26.164	OK	15-11-2025	08:37:28.338	1.103	1013	OK	15-11-2025	08:37:28.411	1.176	206.437	21.084	476	0	OK	15-11-2025	08:37:28.411	1.176	26.164	OK	15-11-2025	08:37:28.411	1.176	1013	OK	15-11-2025	08:37:27.327	0.092	26.162	OK			
15-11-2025	08:37:33.266	6.031	212.047	21.214	628	1	OK	15-11-2025	08:37:33.266	6.031	26.161	OK	15-11-2025	08:37:33.266	6.031	1013	OK	15-11-2025	08:37:33.192	5.957	204.820	21.435	530	0	OK	15-11-2025	08:37:33.192	5.957	26.161	OK	15-11-2025	08:37:33.192	5.957	1013	OK	15-11-2025	08:37:33.339	6.104	204.370	21.475	524	1	OK	15-11-2025	08:37:33.339	6.104	26.162	OK	15-11-2025	08:37:33.339	6.104	1013	OK	15-11-2025	08:37:33.414	6.179	206.332	21.090	476	0	OK	15-11-2025	08:37:33.414	6.179	26.162	OK	15-11-2025	08:37:33.414	6.179	1013	OK	15-11-2025	08:37:32.325	5.090	26.161	OK			
15-11-2025	08:37:38.266	11.031	212.050	21.213	628	0	OK	15-11-2025	08:37:38.266	11.031	26.164	OK	15-11-2025	08:37:38.266	11.031	1013	OK	15-11-2025	08:37:38.193	10.957	204.614	21.445	530	0	OK	15-11-2025	08:37:38.193	10.957	26.164	OK	15-11-2025	08:37:38.193	10.957	1013	OK	15-11-2025	08:37:38.338	11.102	204.246	21.481	525	0	OK	15-11-2025	08:37:38.338	11.102	26.164	OK	15-11-2025	08:37:38.338	11.102	1013	OK	15-11-2025	08:37:38.412	11.176	205.726	21.121	477	0	OK	15-11-2025	08:37:38.412	11.176	26.164	OK	15-11-2025	08:37:38.412	11.176	1013	OK	15-11-2025	08:37:37.325	10.090	26.163	OK			
15-11-2025	08:37:43.265	16.029	212.126	21.210	628	0	OK	15-11-2025	08:37:43.265	16.029	26.161	OK	15-11-2025	08:37:43.265	16.029	1013	OK	15-11-2025	08:37:43.193	15.958	204.554	21.449	530	0	OK	15-11-2025	08:37:43.193	15.958	26.161	OK	15-11-2025	08:37:43.193	15.958	1013	OK	15-11-2025	08:37:43.338	16.102	204.318	21.478	524	1	OK	15-11-2025	08:37:43.338	16.102	26.161	OK	15-11-2025	08:37:43.338	16.102	1013	OK	15-11-2025	08:37:43.412	16.177	205.459	21.136	477	0	OK	15-11-2025	08:37:43.412	16.177	26.160	OK	15-11-2025	08:37:43.412	16.177	1013	OK	15-11-2025	08:37:42.325	15.090	26.161	OK			
15-11-2025	08:37:48.265	21.030	212.018	21.216	628	0	OK	15-11-2025	08:37:48.265	21.030	26.159	OK	15-11-2025	08:37:48.265	21.030	1013	OK	15-11-2025	08:37:48.192	20.957	204.616	21.446	530	0	OK	15-11-2025	08:37:48.192	20.957	26.160	OK	15-11-2025	08:37:48.192	20.957	1013	OK	15-11-2025	08:37:48.337	21.102	204.178	21.486	524	1	OK	15-11-2025	08:37:48.337	21.102	26.159	OK	15-11-2025	08:37:48.337	21.102	1013	OK	15-11-2025	08:37:48.410	21.175	205.005	21.160	478	1	OK	15-11-2025	08:37:48.410	21.175	26.159	OK	15-11-2025	08:37:48.410	21.175	1013	OK	15-11-2025	08:37:47.325	20.090	26.159	OK			
15-11-2025	08:37:53.194	25.959	212.165	21.208	628	0	OK	15-11-2025	08:37:53.194	25.959	26.161	OK	15-11-2025	08:37:53.194	25.959	1013	OK	15-11-2025	08:37:53.340	26.105	204.478	21.453	530	0	OK	15-11-2025	08:37:53.340	26.105	26.161	OK	15-11-2025	08:37:53.340	26.105	1013	OK	15-11-2025	08:37:53.266	26.031	204.318	21.478	525	0	OK	15-11-2025	08:37:53.266	26.031	26.161	OK	15-11-2025	08:37:53.266	26.031	1013	OK	15-11-2025	08:37:53.415	26.179	204.747	21.173	478	0	OK	15-11-2025	08:37:53.415	26.179	26.161	OK	15-11-2025	08:37:53.415	26.179	1013	OK	15-11-2025	08:37:52.327	25.092	26.161	OK			
15-11-2025	08:37:58.195	30.960	211.887	21.221	627	0	OK	15-11-2025	08:37:58.195	30.960	26.165	OK	15-11-2025	08:37:58.195	30.960	1013	OK	15-11-2025	08:37:58.338	31.102	204.357	21.458	530	0	OK	15-11-2025	08:37:58.338	31.102	26.166	OK	15-11-2025	08:37:58.338	31.102	1013	OK	15-11-2025	08:37:58.265	31.030	204.052	21.491	525	0	OK	15-11-2025	08:37:58.265	31.030	26.165	OK	15-11-2025	08:37:58.265	31.030	1013	OK	15-11-2025	08:37:58.410	31.175	204.339	21.193	478	0	OK	15-11-2025	08:37:58.410	31.175	26.166	OK	15-11-2025	08:37:58.410	31.175	1013	OK	15-11-2025	08:37:57.333	30.097	26.165	OK			
15-11-2025	08:38:03.194	35.958	212.083	21.213	627	0	OK	15-11-2025	08:38:03.194	35.958	26.158	OK	15-11-2025	08:38:03.194	35.958	1013	OK	15-11-2025	08:38:03.338	36.103	204.494	21.453	530	0	OK	15-11-2025	08:38:03.338	36.103	26.158	OK	15-11-2025	08:38:03.338	36.103	1013	OK	15-11-2025	08:38:03.264	36.029	203.937	21.499	525	1	OK	15-11-2025	08:38:03.264	36.029	26.158	OK	15-11-2025	08:38:03.264	36.029	1013	OK	15-11-2025	08:38:03.411	36.176	203.849	21.221	479	0	OK	15-11-2025	08:38:03.411	36.176	26.158	OK	15-11-2025	08:38:03.411	36.176	1013	OK	15-11-2025	08:38:02.328	35.093	26.159	OK			
15-11-2025	08:38:08.270	41.035	212.307	21.200	627	0	OK	15-11-2025	08:38:08.270	41.035	26.164	OK	15-11-2025	08:38:08.270	41.035	1013	OK	15-11-2025	08:38:08.340	41.105	204.273	21.463	531	0	OK	15-11-2025	08:38:08.340	41.105	26.164	OK	15-11-2025	08:38:08.340	41.105	1013	OK	15-11-2025	08:38:08.197	40.962	204.189	21.484	525	0	OK	15-11-2025	08:38:08.197	40.962	26.164	OK	15-11-2025	08:38:08.197	40.962	1013	OK	15-11-2025	08:38:08.413	41.178	203.634	21.231	479	1	OK	15-11-2025	08:38:08.413	41.178	26.163	OK	15-11-2025	08:38:08.413	41.178	1013	OK	15-11-2025	08:38:07.328	40.093	26.162	OK			
15-11-2025	08:38:13.339	46.104	212.025	21.214	627	0	OK	15-11-2025	08:38:13.339	46.104	26.165	OK	15-11-2025	08:38:13.339	46.104	1013	OK	15-11-2025	08:38:13.265	46.030	204.514	21.450	530	0	OK	15-11-2025	08:38:13.265	46.030	26.165	OK	15-11-2025	08:38:13.265	46.030	1013	OK	15-11-2025	08:38:13.193	45.958	204.095	21.489	525	0	OK	15-11-2025	08:38:13.193	45.958	26.164	OK	15-11-2025	08:38:13.193	45.958	1013	OK	15-11-2025	08:38:13.411	46.176	203.301	21.248	480	0	OK	15-11-2025	08:38:13.411	46.176	26.165	OK	15-11-2025	08:38:13.411	46.176	1013	OK	15-11-2025	08:38:12.329	45.093	26.165	OK			
15-11-2025	08:38:18.338	51.103	211.973	21.218	627	1	OK	15-11-2025	08:38:18.338	51.103	26.160	OK	15-11-2025	08:38:18.338	51.103	1013	OK	15-11-2025	08:38:18.267	51.031	204.327	21.461	530	0	OK	15-11-2025	08:38:18.267	51.031	26.161	OK	15-11-2025	08:38:18.267	51.031	1013	OK	15-11-2025	08:38:18.194	50.959	203.959	21.497	524	0	OK	15-11-2025	08:38:18.194	50.959	26.161	OK	15-11-2025	08:38:18.194	50.959	1013	OK	15-11-2025	08:38:18.426	51.191	203.138	21.258	480	0	OK	15-11-2025	08:38:18.426	51.191	26.160	OK	15-11-2025	08:38:18.426	51.191	1013	OK	15-11-2025	08:38:17.329	50.093	26.162	OK			
15-11-2025	08:38:23.340	56.105	212.137	21.210	627	0	OK	15-11-2025	08:38:23.340	56.105	26.159	OK	15-11-2025	08:38:23.340	56.105	1013	OK	15-11-2025	08:38:23.268	56.033	204.205	21.468	530	0	OK	15-11-2025	08:38:23.268	56.033	26.159	OK	15-11-2025	08:38:23.268	56.033	1013	OK	15-11-2025	08:38:23.195	55.960	203.989	21.496	524	0	OK	15-11-2025	08:38:23.195	55.960	26.159	OK	15-11-2025	08:38:23.195	55.960	1013	OK	15-11-2025	08:38:23.412	56.177	202.710	21.281	480	0	OK	15-11-2025	08:38:23.412	56.177	26.159	OK	15-11-2025	08:38:23.412	56.177	1013	OK	15-11-2025	08:38:22.327	55.092	26.161	OK			
15-11-2025	08:38:28.344	61.109	211.846	21.225	627	0	OK	15-11-2025	08:38:28.344	61.109	26.158	OK	15-11-2025	08:38:28.344	61.109	1013	OK	15-11-2025	08:38:28.270	61.034	204.475	21.454	530	1	OK	15-11-2025	08:38:28.270	61.034	26.158	OK	15-11-2025	08:38:28.270	61.034	1013	OK	15-11-2025	08:38:28.195	60.960	203.975	21.497	524	0	OK	15-11-2025	08:38:28.195	60.960	26.158	OK	15-11-2025	08:38:28.195	60.960	1013	OK	15-11-2025	08:38:28.414	61.179	202.408	21.297	481	1	OK	15-11-2025	08:38:28.414	61.179	26.159	OK	15-11-2025	08:38:28.414	61.179	1013	OK	15-11-2025	08:38:27.327	60.092	26.157	OK			
15-11-2025	08:38:33.340	66.104	212.047	21.214	627	1	OK	15-11-2025	08:38:33.340	66.104	26.161	OK	15-11-2025	08:38:33.340	66.104	1013	OK	15-11-2025	08:38:33.267	66.032	204.327	21.461	530	0	OK	15-11-2025	08:38:33.267	66.032	26.161	OK	15-11-2025	08:38:33.267	66.032	1013	OK	15-11-2025	08:38:33.194	65.959	203.940	21.498	524	0	OK	15-11-2025	08:38:33.194	65.959	26.161	OK	15-11-2025	08:38:33.194	65.959	1013	OK	15-11-2025	08:38:33.411	66.175	202.055	21.315	481	0	OK	15-11-2025	08:38:33.411	66.175	26.162	OK	15-11-2025	08:38:33.411	66.175	1013	OK	15-11-2025	08:38:32.328	65.093	26.160	OK			
15-11-2025	08:38:38.339	71.104	211.999	21.217	626	0	OK	15-11-2025	08:38:38.339	71.104	26.159	OK	15-11-2025	08:38:38.339	71.104	1013	OK	15-11-2025	08:38:38.267	71.031	204.224	21.467	530	0	OK	15-11-2025	08:38:38.267	71.031	26.159	OK	15-11-2025	08:38:38.267	71.031	1013	OK	15-11-2025	08:38:38.193	70.958	203.937	21.499	524	1	OK	15-11-2025	08:38:38.193	70.958	26.158	OK	15-11-2025	08:38:38.193	70.958	1013	OK	15-11-2025	08:38:38.409	71.174	201.789	21.330	481	1	OK	15-11-2025	08:38:38.409	71.174	26.159	OK	15-11-2025	08:38:38.409	71.174	1013	OK	15-11-2025	08:38:37.329	70.094	26.158	OK			
15-11-2025	08:38:43.418	76.183	211.943	21.219	627	0	OK	15-11-2025	08:38:43.418	76.183	26.162	OK	15-11-2025	08:38:43.418	76.183	1013	OK	15-11-2025	08:38:43.269	76.033	204.170	21.469	530	0	OK	15-11-2025	08:38:43.269	76.033	26.162	OK	15-11-2025	08:38:43.269	76.033	1013	OK	15-11-2025	08:38:43.194	75.959	203.973	21.496	524	0	OK	15-11-2025	08:38:43.194	75.959	26.162	OK	15-11-2025	08:38:43.194	75.959	1013	OK	15-11-2025	08:38:43.343	76.108	201.287	21.356	482	0	OK	15-11-2025	08:38:43.343	76.108	26.162	OK	15-11-2025	08:38:43.343	76.108	1013	OK	15-11-2025	08:38:42.328	75.092	26.159	OK			
