#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial5-light-newbox-
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - SC7-523-205 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/14/2025	12/31/2000	20.853	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.108	26.641	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (µmol/L) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
15-11-2025	08:37:28.338	1.103	204.340	21.476	524	0	OK	15-11-2025	08:37:28.338	1.103	26.164	OK	15-11-2025	08:37:28.338	1.103	1013	OK
15-11-2025	08:37:33.339	6.104	204.370	21.475	524	1	OK	15-11-2025	08:37:33.339	6.104	26.162	OK	15-11-2025	08:37:33.339	6.104	1013	OK
15-11-2025	08:37:38.338	11.102	204.246	21.481	525	0	OK	15-11-2025	08:37:38.338	11.102	26.164	OK	15-11-2025	08:37:38.338	11.102	1013	OK
15-11-2025	08:37:43.338	16.102	204.318	21.478	524	1	OK	15-11-2025	08:37:43.338	16.102	26.161	OK	15-11-2025	08:37:43.338	16.102	1013	OK
15-11-2025	08:37:48.337	21.102	204.178	21.486	524	1	OK	15-11-2025	08:37:48.337	21.102	26.159	OK	15-11-2025	08:37:48.337	21.102	1013	OK
15-11-2025	08:37:53.266	26.031	204.318	21.478	525	0	OK	15-11-2025	08:37:53.266	26.031	26.161	OK	15-11-2025	08:37:53.266	26.031	1013	OK
15-11-2025	08:37:58.265	31.030	204.052	21.491	525	0	OK	15-11-2025	08:37:58.265	31.030	26.165	OK	15-11-2025	08:37:58.265	31.030	1013	OK
15-11-2025	08:38:03.264	36.029	203.937	21.499	525	1	OK	15-11-2025	08:38:03.264	36.029	26.158	OK	15-11-2025	08:38:03.264	36.029	1013	OK
15-11-2025	08:38:08.197	40.962	204.189	21.484	525	0	OK	15-11-2025	08:38:08.197	40.962	26.164	OK	15-11-2025	08:38:08.197	40.962	1013	OK
15-11-2025	08:38:13.193	45.958	204.095	21.489	525	0	OK	15-11-2025	08:38:13.193	45.958	26.164	OK	15-11-2025	08:38:13.193	45.958	1013	OK
15-11-2025	08:38:18.194	50.959	203.959	21.497	524	0	OK	15-11-2025	08:38:18.194	50.959	26.161	OK	15-11-2025	08:38:18.194	50.959	1013	OK
15-11-2025	08:38:23.195	55.960	203.989	21.496	524	0	OK	15-11-2025	08:38:23.195	55.960	26.159	OK	15-11-2025	08:38:23.195	55.960	1013	OK
15-11-2025	08:38:28.195	60.960	203.975	21.497	524	0	OK	15-11-2025	08:38:28.195	60.960	26.158	OK	15-11-2025	08:38:28.195	60.960	1013	OK
15-11-2025	08:38:33.194	65.959	203.940	21.498	524	0	OK	15-11-2025	08:38:33.194	65.959	26.161	OK	15-11-2025	08:38:33.194	65.959	1013	OK
15-11-2025	08:38:38.193	70.958	203.937	21.499	524	1	OK	15-11-2025	08:38:38.193	70.958	26.158	OK	15-11-2025	08:38:38.193	70.958	1013	OK
