seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
4.367,0.0012130555555555555,18:46:07.279,179.031,200.084,135.375,149.809,25.978
9.365,0.0026013888888888888,18:46:12.276,178.762,200.107,135.792,149.985,25.977
14.359,0.003988611111111111,18:46:17.270,178.465,200.007,136.167,150.258,25.975
19.385,0.005384722222222223,18:46:22.296,178.231,199.965,136.481,150.449,25.977
24.359,0.0067663888888888895,18:46:27.270,177.774,200.005,136.844,150.695,25.979
29.371,0.008158611111111111,18:46:32.282,177.459,199.918,137.158,150.992,25.978
34.396,0.009554444444444445,18:46:37.307,177.042,199.891,137.589,151.257,25.975
39.374,0.010937222222222223,18:46:42.285,176.928,199.949,137.851,151.362,25.979
44.365,0.012323611111111112,18:46:47.276,176.719,200.067,138.199,151.663,25.976
49.358,0.013710555555555554,18:46:52.269,176.343,199.965,138.638,151.776,25.975
54.36,0.0151,18:46:57.272,176.008,200.047,138.943,152.01,25.979
59.373,0.0164925,18:47:02.285,175.819,199.986,139.255,152.302,25.979
64.361,0.017878055555555557,18:47:07.272,175.46,199.931,139.588,152.414,25.978
69.364,0.01926777777777778,18:47:12.275,175.408,200.055,140.012,152.622,25.979
74.363,0.020656388888888887,18:47:17.274,175.168,199.925,140.377,152.839,25.973
79.36,0.022044444444444443,18:47:22.272,175.051,200.034,140.67,153.067,25.978
84.363,0.023434166666666666,18:47:27.275,174.661,200.087,141.038,153.214,25.981
89.288,0.024802222222222222,18:47:32.199,174.639,199.908,141.317,153.48,25.979
94.288,0.02619111111111111,18:47:37.199,174.352,200.092,141.685,153.667,25.98
99.292,0.027581111111111112,18:47:42.204,174.069,199.978,142.047,153.91,25.977
104.291,0.02896972222222222,18:47:47.203,173.706,200.121,142.414,154.152,25.978
109.29,0.030358333333333334,18:47:52.201,173.512,200.008,142.607,154.323,25.983
114.292,0.03174777777777778,18:47:57.203,173.417,199.931,143.044,154.531,25.98
119.291,0.03313638888888889,18:48:02.202,173.142,199.968,143.324,154.833,25.979
124.362,0.034545,18:48:07.274,173.007,199.918,143.806,155.029,25.978
129.292,0.03591444444444444,18:48:12.203,172.849,199.897,144.216,155.247,25.982
134.293,0.037303611111111114,18:48:17.204,172.661,200.018,144.548,155.452,25.979
139.292,0.038692222222222225,18:48:22.203,172.461,199.968,144.942,155.576,25.979
144.297,0.0400825,18:48:27.208,172.337,199.871,145.222,155.752,25.979
149.291,0.04146972222222222,18:48:32.202,172.02,199.958,145.741,155.928,25.981
154.295,0.042859722222222216,18:48:37.206,171.923,199.995,145.99,156.062,25.982
159.295,0.04424861111111111,18:48:42.206,171.738,199.989,146.452,156.353,25.982
164.293,0.045636944444444445,18:48:47.205,171.774,199.916,146.701,156.409,25.981
169.293,0.047025833333333336,18:48:52.204,171.578,200.142,147.221,156.803,25.98
174.291,0.04841416666666667,18:48:57.202,171.477,199.971,147.271,157.021,25.982
179.289,0.0498025,18:49:02.200,171.434,200.097,147.708,157.667,25.978
184.293,0.0511925,18:49:07.204,171.221,199.963,148.1,158.076,25.981
189.293,0.05258138888888889,18:49:12.204,171.092,199.899,148.473,158.595,25.979
194.292,0.05397,18:49:17.203,170.915,199.773,148.7,158.795,25.981
199.295,0.05535972222222222,18:49:22.207,170.924,200.005,149.127,159.072,25.979
204.295,0.05674861111111111,18:49:27.206,170.747,199.939,149.475,159.347,25.981
209.295,0.058137499999999995,18:49:32.207,170.651,199.989,149.747,159.485,25.982
214.299,0.059527500000000004,18:49:37.210,170.37,199.908,150.112,159.82,25.98
219.294,0.060915000000000004,18:49:42.205,170.316,199.952,150.315,160.011,25.982
224.299,0.06230527777777778,18:49:47.210,170.24,199.879,150.664,160.168,25.982
229.295,0.06369305555555556,18:49:52.206,170.29,199.76,150.956,160.358,25.981
234.293,0.0650813888888889,18:49:57.204,170.042,199.805,151.366,160.568,25.982
239.294,0.06647055555555556,18:50:02.206,169.784,199.897,151.566,160.798,25.982
244.302,0.06786166666666667,18:50:07.214,169.617,199.695,151.793,161.056,25.982
