seconds,hours,clock,Ch1,Ch2,Ch3,Ch4,Temp
3.992,0.0011088888888888889,18:58:55.315,208.263,192.068,219.753,191.759,26.211
8.988,0.0024966666666666666,18:59:00.312,208.313,191.832,219.498,191.722,26.216
13.992,0.0038866666666666667,18:59:05.315,208.189,191.702,219.427,191.503,26.214
18.991,0.005275277777777778,18:59:10.314,208.024,191.482,219.333,191.335,26.216
23.988,0.006663333333333334,18:59:15.312,207.869,191.517,219.162,191.312,26.216
28.992,0.008053333333333334,18:59:20.315,207.701,191.416,219.338,191.297,26.215
33.989,0.009441388888888888,18:59:25.313,207.869,191.389,218.983,191.295,26.216
38.991,0.010830833333333333,18:59:30.315,207.446,191.477,219.085,190.979,26.216
43.99,0.012219444444444444,18:59:35.313,207.594,191.319,218.848,190.733,26.217
48.989,0.013608055555555556,18:59:40.312,207.369,191.324,218.941,190.756,26.216
53.989,0.014996944444444443,18:59:45.313,207.547,191.154,218.906,190.433,26.215
59.082,0.016411666666666668,18:59:50.405,207.484,191.097,218.777,190.283,26.216
63.989,0.017774722222222223,18:59:55.312,207.413,191.019,218.577,190.136,26.215
68.986,0.01916277777777778,19:00:00.309,207.535,191.179,218.64,190.155,26.21
73.988,0.02055222222222222,19:00:05.312,207.39,190.819,218.717,190.053,26.212
78.988,0.021941111111111113,19:00:10.311,207.152,191.039,218.524,189.986,26.217
83.987,0.02332972222222222,19:00:15.310,207.086,191.062,218.454,190.074,26.215
88.986,0.024718333333333335,19:00:20.310,207.166,190.86,218.396,189.959,26.218
93.99,0.02610833333333333,19:00:25.314,207.119,190.922,218.34,189.708,26.216
98.99,0.02749722222222222,19:00:30.313,206.873,190.89,218.288,189.594,26.219
103.987,0.028885277777777777,19:00:35.310,206.84,190.738,218.027,189.611,26.218
108.988,0.030274444444444444,19:00:40.311,206.972,190.693,218.066,189.601,26.222
113.989,0.031663611111111115,19:00:45.312,206.753,190.78,218.004,189.358,26.22
118.99,0.03305277777777778,19:00:50.313,206.595,190.706,217.887,189.063,26.221
123.989,0.03444138888888889,19:00:55.312,206.8,190.648,217.718,189.361,26.222
128.993,0.035831388888888885,19:01:00.316,206.931,190.571,217.673,188.942,26.219
133.987,0.03721861111111111,19:01:05.310,206.532,190.614,217.923,189.018,26.222
138.989,0.038608055555555555,19:01:10.312,206.633,190.496,217.826,188.729,26.221
143.989,0.039996944444444446,19:01:15.312,206.608,190.544,217.677,188.694,26.222
148.993,0.04138694444444444,19:01:20.316,206.589,190.579,217.575,188.65,26.222
153.992,0.04277555555555555,19:01:25.315,206.537,190.27,217.703,188.746,26.221
158.989,0.04416361111111111,19:01:30.312,206.523,190.414,217.709,188.44,26.22
163.992,0.04555333333333333,19:01:35.315,206.499,190.427,217.677,188.349,26.221
168.992,0.04694222222222222,19:01:40.315,206.382,190.286,217.558,188.347,26.225
173.99,0.04833055555555556,19:01:45.314,206.494,190.191,217.248,188.615,26.222
178.992,0.04972,19:01:50.316,206.45,190.208,217.406,188.305,26.223
183.99,0.05110833333333334,19:01:55.314,206.349,190.03,217.421,188.334,26.224
188.993,0.052498055555555555,19:02:00.316,206.303,190.022,217.382,188.43,26.222
193.991,0.05388638888888889,19:02:05.315,206.169,190.074,217.106,188.051,26.222
198.996,0.05527666666666667,19:02:10.320,206.273,190.208,217.237,188.098,26.224
203.994,0.056665,19:02:15.317,206.401,189.869,217.375,188.243,26.225
208.995,0.05805416666666667,19:02:20.318,206.328,189.837,217.195,188.143,26.228
213.992,0.05944222222222222,19:02:25.315,206.316,189.809,217.222,188.046,26.223
218.989,0.06083027777777778,19:02:30.313,206.216,189.735,217.319,188.209,26.224
223.996,0.062221111111111116,19:02:35.319,206.233,189.387,217.256,187.919,26.228
228.993,0.06360916666666666,19:02:40.317,206.052,189.488,217.145,187.985,26.226
233.995,0.06499861111111112,19:02:45.319,206.271,189.404,217.241,188.16,26.228
238.993,0.06638694444444444,19:02:50.316,205.895,189.34,217.037,187.889,26.227
244.075,0.0677986111111111,19:02:55.399,205.876,189.374,217.159,187.958,26.227
249.077,0.06918805555555556,19:03:00.401,206.08,189.473,217.011,187.815,26.228
254.087,0.07057972222222222,19:03:05.411,205.827,189.399,217.006,187.897,26.229
259.076,0.07196555555555556,19:03:10.399,205.843,189.34,217.078,187.786,26.226
264.076,0.07335444444444444,19:03:15.399,205.543,189.522,217.109,187.825,26.225
269.076,0.07474333333333334,19:03:20.400,205.462,189.401,217.043,187.709,26.226
274.078,0.07613277777777777,19:03:25.402,205.381,189.132,217.037,187.82,26.227
279.073,0.07752027777777777,19:03:30.397,205.547,189.283,217.032,187.643,26.228
284.076,0.07891000000000001,19:03:35.399,205.134,189.08,217.037,187.842,26.227
289.076,0.08029888888888889,19:03:40.400,205.007,189.189,216.982,187.653,26.226
294.08,0.08168888888888888,19:03:45.403,204.926,189.041,217.098,187.592,26.227
298.998,0.083055,19:03:50.321,204.717,189.115,216.889,187.575,26.227
304.0,0.08444444444444445,19:03:55.323,204.882,189.007,217.072,187.626,26.228
308.999,0.08583305555555557,19:04:00.322,204.358,189.046,216.935,187.356,26.227
314.075,0.08724305555555555,19:04:05.399,204.269,189.051,216.9,187.31,26.226
319.074,0.08863166666666666,19:04:10.397,204.169,188.718,216.691,187.116,26.227
324.074,0.09002055555555556,19:04:15.398,203.962,188.667,216.767,187.077,26.227
329.077,0.09141027777777777,19:04:20.400,203.428,188.768,216.669,186.96,26.232
334.075,0.09279861111111111,19:04:25.399,203.61,188.706,216.555,186.843,26.226
338.999,0.0941663888888889,19:04:30.323,203.462,188.709,216.558,186.714,26.229
344.075,0.09557638888888889,19:04:35.398,203.331,188.812,216.756,186.538,26.229
349.077,0.09696583333333333,19:04:40.400,202.94,188.694,216.359,186.563,26.232
354.072,0.09835333333333333,19:04:45.395,202.884,188.802,216.568,186.516,26.232
359.077,0.09974361111111112,19:04:50.400,202.544,188.795,216.416,186.504,26.229
364.076,0.10113222222222223,19:04:55.400,202.51,188.505,216.521,186.46,26.232
369.0,0.1025,19:05:00.324,202.441,188.579,216.42,186.511,26.231
374.001,0.10388916666666666,19:05:05.324,201.927,188.643,216.353,186.626,26.233
379.003,0.1052786111111111,19:05:10.326,201.852,188.753,216.374,186.399,26.233
384.002,0.10666722222222222,19:05:15.326,201.677,188.699,216.304,186.243,26.231
389.0,0.10805555555555556,19:05:20.323,201.491,188.613,216.324,186.346,26.231
394.0,0.10944444444444444,19:05:25.323,201.348,188.687,216.309,186.214,26.23
399.001,0.1108336111111111,19:05:30.324,201.179,188.525,216.368,186.285,26.234
404.002,0.11222277777777778,19:05:35.326,200.689,188.51,216.237,186.443,26.232
409.002,0.11361166666666667,19:05:40.325,200.8,188.471,215.913,186.29,26.232
414.077,0.1150213888888889,19:05:45.400,200.51,188.544,215.812,186.307,26.231
419.08,0.1164111111111111,19:05:50.404,200.473,188.601,215.682,186.333,26.231
424.081,0.11780027777777778,19:05:55.404,200.26,188.448,215.726,186.183,26.233
429.081,0.11918916666666667,19:06:00.404,199.92,188.441,215.716,186.256,26.231
434.085,0.12057916666666667,19:06:05.409,199.838,188.468,215.834,186.139,26.229
439.08,0.12196666666666667,19:06:10.403,199.613,188.497,215.823,186.35,26.23
444.078,0.12335499999999999,19:06:15.401,199.283,188.433,215.748,186.236,26.23
449.082,0.124745,19:06:20.405,199.146,188.485,215.788,186.521,26.228
454.077,0.1261325,19:06:25.400,199.058,188.355,215.898,186.443,26.231
459.095,0.1275263888888889,19:06:30.419,199.076,188.441,216.0,186.329,26.231
464.078,0.12891055555555556,19:06:35.402,198.747,188.338,215.919,186.141,26.231
469.081,0.13030027777777778,19:06:40.404,198.4,188.299,215.751,186.358,26.231
474.078,0.13168833333333332,19:06:45.402,198.379,188.318,215.834,186.457,26.228
479.08,0.13307777777777777,19:06:50.404,198.028,188.279,215.909,186.414,26.229
484.08,0.13446666666666665,19:06:55.403,197.904,188.264,215.873,186.426,26.232
489.073,0.1358536111111111,19:07:00.397,197.927,188.218,215.696,186.311,26.231
494.074,0.13724277777777777,19:07:05.398,197.722,188.333,215.67,186.022,26.232
499.075,0.13863194444444443,19:07:10.398,197.473,188.2,215.716,186.226,26.231
504.078,0.14002166666666666,19:07:15.401,197.168,188.203,215.705,185.962,26.234
509.0,0.1413888888888889,19:07:20.323,197.001,188.198,215.558,185.94,26.235
514.077,0.14279916666666667,19:07:25.401,196.951,188.061,215.492,186.173,26.234
519.078,0.14418833333333334,19:07:30.401,196.5,187.929,215.457,186.127,26.234
524.076,0.14557666666666666,19:07:35.399,196.567,187.975,215.331,185.991,26.235
529.08,0.1469666666666667,19:07:40.404,196.629,187.897,215.542,186.096,26.237
534.078,0.148355,19:07:45.402,196.343,188.157,215.417,185.855,26.233
539.078,0.14974388888888887,19:07:50.401,196.333,187.963,215.417,185.804,26.235
544.079,0.15113305555555553,19:07:55.403,196.009,188.066,215.276,185.782,26.235
549.075,0.15252083333333336,19:08:00.398,196.135,188.061,215.25,185.85,26.235
