dt_s,oxygen_umolL_Ch4,temp_C_Ch4,pressure_mbar_Ch4,oxygen_umolL_Ch1,temp_C_Ch1,pressure_mbar_Ch1,oxygen_umolL_Ch2,temp_C_Ch2,pressure_mbar_Ch2,oxygen_umolL_Ch3,temp_C_Ch3,pressure_mbar_Ch3,hours,Temp,Ch1,Ch2,Ch3,Ch4
10003.884,169.17,26.44,1015.0,,,,,,,,,,2.7788566666666665,26.44,,,,169.17
10003.969,,,,207.013,26.439,1015.0,,,,,,,2.7788802777777777,26.439,207.013,,,
10004.045,,,,,,,163.55,26.439,1015.0,,,,2.778901388888889,26.439,,163.55,,
10004.12,,,,,,,,,,178.5,26.439,1015.0,2.7789222222222225,26.439,,,178.5,
10008.884,169.368,26.44,1015.0,,,,,,,,,,2.7802455555555556,26.44,,,,169.368
10008.97,,,,206.888,26.441,1015.0,,,,,,,2.7802694444444445,26.441,206.888,,,
10009.042,,,,,,,163.337,26.441,1015.0,,,,2.780289444444444,26.441,,163.337,,
10009.117,,,,,,,,,,178.685,26.441,1015.0,2.7803102777777777,26.441,,,178.685,
10013.884,169.215,26.44,1015.0,,,,,,,,,,2.7816344444444443,26.44,,,,169.215
10013.975,,,,207.038,26.438,1015.0,,,,,,,2.7816597222222224,26.438,207.038,,,
10014.05,,,,,,,163.437,26.438,1015.0,,,,2.7816805555555555,26.438,,163.437,,
10014.125,,,,,,,,,,178.569,26.438,1015.0,2.781701388888889,26.438,,,178.569,
10018.885,169.233,26.436,1015.0,,,,,,,,,,2.783023611111111,26.436,,,,169.233
10018.972,,,,206.952,26.436,1015.0,,,,,,,2.7830477777777776,26.436,206.952,,,
10019.046,,,,,,,163.372,26.436,1015.0,,,,2.7830683333333335,26.436,,163.372,,
10019.124,,,,,,,,,,178.61,26.436,1015.0,2.78309,26.436,,,178.61,
10023.884,169.248,26.443,1015.0,,,,,,,,,,2.784412222222222,26.443,,,,169.248
10023.97,,,,207.242,26.443,1015.0,,,,,,,2.784436111111111,26.443,207.242,,,
10024.043,,,,,,,163.387,26.443,1015.0,,,,2.7844563888888887,26.443,,163.387,,
