#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial7-dark-newbox-1
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.4] - Oxygen Sensor - SC7-523-205 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/14/2025	12/31/2000	20.572	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.296	26.641	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.4 Main]	Time [A Ch.4 Main]	 dt (s) [A Ch.4 Main]	Oxygen (µmol/L) [A Ch.4 Main]	dphi (°) [A Ch.4 Main]	Signal Intensity (mV) [A Ch.4 Main]	Ambient Light (mV) [A Ch.4 Main]	Status [A Ch.4 Main]	Date [A Ch.4 CompT]	Time [A Ch.4 CompT]	 dt (s) [A Ch.4 CompT]	Sample Temp. (°C) [A Ch.4 CompT]	Status [A Ch.4 CompT]	Date [A Ch.4 CompP]	Time [A Ch.4 CompP]	 dt (s) [A Ch.4 CompP]	Pressure (mbar) [A Ch.4 CompP]	Status [A Ch.4 CompP]
17-11-2025	18:58:55.145	3.822	191.759	21.867	204	0	OK	17-11-2025	18:58:55.145	3.822	26.212	OK	17-11-2025	18:58:55.145	3.822	1013	OK
17-11-2025	18:59:00.222	8.899	191.722	21.868	204	0	OK	17-11-2025	18:59:00.222	8.899	26.216	OK	17-11-2025	18:59:00.222	8.899	1013	OK
17-11-2025	18:59:05.146	13.823	191.503	21.881	204	0	OK	17-11-2025	18:59:05.146	13.823	26.214	OK	17-11-2025	18:59:05.146	13.823	1013	OK
17-11-2025	18:59:10.145	18.822	191.335	21.890	205	0	OK	17-11-2025	18:59:10.145	18.822	26.216	OK	17-11-2025	18:59:10.145	18.822	1013	OK
17-11-2025	18:59:15.144	23.820	191.312	21.891	205	0	OK	17-11-2025	18:59:15.144	23.820	26.217	OK	17-11-2025	18:59:15.144	23.820	1013	OK
17-11-2025	18:59:20.145	28.822	191.297	21.893	205	0	OK	17-11-2025	18:59:20.145	28.822	26.213	OK	17-11-2025	18:59:20.145	28.822	1013	OK
17-11-2025	18:59:25.146	33.823	191.295	21.892	206	0	OK	17-11-2025	18:59:25.146	33.823	26.217	OK	17-11-2025	18:59:25.146	33.823	1013	OK
17-11-2025	18:59:30.145	38.822	190.979	21.910	206	0	OK	17-11-2025	18:59:30.145	38.822	26.217	OK	17-11-2025	18:59:30.145	38.822	1013	OK
17-11-2025	18:59:35.143	43.820	190.733	21.924	206	0	OK	17-11-2025	18:59:35.143	43.820	26.217	OK	17-11-2025	18:59:35.143	43.820	1013	OK
17-11-2025	18:59:40.144	48.821	190.756	21.923	206	0	OK	17-11-2025	18:59:40.144	48.821	26.216	OK	17-11-2025	18:59:40.144	48.821	1013	OK
17-11-2025	18:59:45.144	53.821	190.433	21.942	207	0	OK	17-11-2025	18:59:45.144	53.821	26.214	OK	17-11-2025	18:59:45.144	53.821	1013	OK
17-11-2025	18:59:50.143	58.819	190.283	21.950	207	0	OK	17-11-2025	18:59:50.143	58.819	26.216	OK	17-11-2025	18:59:50.143	58.819	1013	OK
17-11-2025	18:59:55.145	63.821	190.136	21.959	207	0	OK	17-11-2025	18:59:55.145	63.821	26.214	OK	17-11-2025	18:59:55.145	63.821	1013	OK
17-11-2025	19:00:00.144	68.821	190.155	21.959	207	0	OK	17-11-2025	19:00:00.144	68.821	26.210	OK	17-11-2025	19:00:00.144	68.821	1013	OK
17-11-2025	19:00:05.144	73.821	190.053	21.964	208	0	OK	17-11-2025	19:00:05.144	73.821	26.213	OK	17-11-2025	19:00:05.144	73.821	1013	OK
17-11-2025	19:00:10.144	78.821	189.986	21.967	208	0	OK	17-11-2025	19:00:10.144	78.821	26.216	OK	17-11-2025	19:00:10.144	78.821	1013	OK
17-11-2025	19:00:15.143	83.820	190.074	21.962	208	0	OK	17-11-2025	19:00:15.143	83.820	26.216	OK	17-11-2025	19:00:15.143	83.820	1013	OK
17-11-2025	19:00:20.144	88.821	189.959	21.968	208	0	OK	17-11-2025	19:00:20.144	88.821	26.218	OK	17-11-2025	19:00:20.144	88.821	1013	OK
17-11-2025	19:00:25.146	93.823	189.708	21.983	209	0	OK	17-11-2025	19:00:25.146	93.823	26.216	OK	17-11-2025	19:00:25.146	93.823	1013	OK
17-11-2025	19:00:30.145	98.822	189.594	21.989	209	0	OK	17-11-2025	19:00:30.145	98.822	26.218	OK	17-11-2025	19:00:30.145	98.822	1012	OK
17-11-2025	19:00:35.145	103.822	189.611	21.988	209	0	OK	17-11-2025	19:00:35.145	103.822	26.218	OK	17-11-2025	19:00:35.145	103.822	1013	OK
17-11-2025	19:00:40.145	108.822	189.601	21.988	209	0	OK	17-11-2025	19:00:40.145	108.822	26.220	OK	17-11-2025	19:00:40.145	108.822	1013	OK
17-11-2025	19:00:45.146	113.822	189.358	22.002	209	0	OK	17-11-2025	19:00:45.146	113.822	26.220	OK	17-11-2025	19:00:45.146	113.822	1013	OK
17-11-2025	19:00:50.146	118.822	189.063	22.019	210	0	OK	17-11-2025	19:00:50.146	118.822	26.220	OK	17-11-2025	19:00:50.146	118.822	1013	OK
17-11-2025	19:00:55.145	123.821	189.361	22.001	210	0	OK	17-11-2025	19:00:55.145	123.821	26.223	OK	17-11-2025	19:00:55.145	123.821	1013	OK
17-11-2025	19:01:00.145	128.821	188.942	22.026	210	0	OK	17-11-2025	19:01:00.145	128.821	26.220	OK	17-11-2025	19:01:00.145	128.821	1013	OK
17-11-2025	19:01:05.144	133.821	189.018	22.021	210	0	OK	17-11-2025	19:01:05.144	133.821	26.222	OK	17-11-2025	19:01:05.144	133.821	1012	OK
17-11-2025	19:01:10.144	138.820	188.729	22.038	210	0	OK	17-11-2025	19:01:10.144	138.820	26.221	OK	17-11-2025	19:01:10.144	138.820	1013	OK
17-11-2025	19:01:15.147	143.823	188.694	22.040	211	0	OK	17-11-2025	19:01:15.147	143.823	26.221	OK	17-11-2025	19:01:15.147	143.823	1013	OK
17-11-2025	19:01:20.147	148.824	188.650	22.042	211	0	OK	17-11-2025	19:01:20.147	148.824	26.223	OK	17-11-2025	19:01:20.147	148.824	1013	OK
17-11-2025	19:01:25.147	153.823	188.746	22.037	211	0	OK	17-11-2025	19:01:25.147	153.823	26.221	OK	17-11-2025	19:01:25.147	153.823	1013	OK
17-11-2025	19:01:30.147	158.823	188.440	22.055	211	0	OK	17-11-2025	19:01:30.147	158.823	26.220	OK	17-11-2025	19:01:30.147	158.823	1013	OK
17-11-2025	19:01:35.148	163.824	188.349	22.060	211	0	OK	17-11-2025	19:01:35.148	163.824	26.221	OK	17-11-2025	19:01:35.148	163.824	1013	OK
17-11-2025	19:01:40.147	168.824	188.347	22.059	211	0	OK	17-11-2025	19:01:40.147	168.824	26.225	OK	17-11-2025	19:01:40.147	168.824	1013	OK
