
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-523-205	3	ON External	20.000	ON	1013	33.000	20%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	5.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.402	1009	100.000	20.950	52.300	19.919	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.321	1009	100.000	20.950	52.300	19.885	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.266	1009	100.000	20.950	52.300	19.836	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	26.188	1009	100.000	20.950	52.300	19.893	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	5.200	
Data	Smoothing:	3	
Date:	11/17/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/17/2025	08:26:15	0.00		---	177.89	183.24	182.88	26.091	26.091	26.091	26.091	1013.29	73.238	26.091	---	---	-178.028	21.683	21.293	21.368	0.920	363.322	573.700	478.442	7.315	7.521	7.319	7.337	
11/17/2025	08:26:20	5.00		---	177.85	183.19	182.78	26.088	26.088	26.088	26.088	1013.31	73.246	26.088	---	---	-177.958	21.686	21.297	21.375	0.917	363.368	573.791	478.601	7.311	7.495	7.303	7.355	
11/17/2025	08:26:25	10.00		---	177.80	183.13	182.63	26.085	26.085	26.085	26.085	1013.29	73.246	26.085	---	---	-178.062	21.690	21.302	21.385	0.923	363.406	573.896	478.767	7.317	7.523	7.318	7.318	
11/17/2025	08:26:30	15.00		---	177.79	183.09	182.47	26.082	26.082	26.082	26.082	1013.26	73.246	26.082	---	---	-178.222	21.692	21.305	21.396	0.929	363.446	573.993	478.934	7.326	7.547	7.298	7.287	
11/17/2025	08:26:35	20.00		---	177.77	183.03	182.33	26.077	26.077	26.077	26.077	1013.27	73.246	26.077	---	---	-178.373	21.694	21.310	21.406	0.934	363.475	574.085	479.097	7.330	7.546	7.323	7.278	
11/17/2025	08:26:40	25.00		---	177.78	183.01	182.18	26.072	26.072	26.072	26.072	1013.26	73.246	26.072	---	---	-178.547	21.695	21.313	21.416	0.930	363.500	574.165	479.260	7.315	7.547	7.281	7.300	
11/17/2025	08:26:45	30.00		---	177.74	182.96	182.04	26.071	26.071	26.071	26.071	1013.28	73.246	26.071	---	---	-178.380	21.698	21.316	21.425	0.929	363.523	574.234	479.428	7.302	7.572	7.289	7.304	
11/17/2025	08:26:50	35.00		---	177.69	182.95	181.91	26.072	26.072	26.072	26.072	1013.26	73.246	26.072	---	---	-178.268	21.701	21.316	21.433	0.928	363.542	574.281	479.596	7.287	7.535	7.281	7.293	
11/17/2025	08:26:55	40.00		---	177.66	182.91	181.80	26.070	26.070	26.070	26.070	1013.30	73.238	26.070	---	---	-178.234	21.703	21.319	21.440	0.928	363.562	574.327	479.761	7.287	7.540	7.289	7.299	
11/17/2025	08:27:00	45.00		---	177.62	182.88	181.67	26.070	26.070	26.070	26.070	1013.32	73.231	26.070	---	---	-178.097	21.705	21.321	21.448	0.929	363.574	574.382	479.930	7.291	7.541	7.273	7.276	
11/17/2025	08:27:05	50.00		---	177.59	182.83	181.53	26.070	26.070	26.070	26.070	1013.39	73.223	26.070	---	---	-178.133	21.707	21.324	21.457	0.932	363.589	574.454	480.100	7.299	7.540	7.279	7.297	
11/17/2025	08:27:10	55.00		---	177.56	182.79	181.41	26.071	26.071	26.071	26.071	1013.35	73.223	26.071	---	---	-177.884	21.709	21.327	21.464	0.935	363.616	574.524	480.271	7.300	7.531	7.282	7.316	
11/17/2025	08:27:15	60.00		---	177.54	182.75	181.30	26.069	26.069	26.069	26.069	1013.30	73.213	26.069	---	---	-178.065	21.711	21.329	21.471	0.933	363.634	574.581	480.440	7.267	7.470	7.320	7.321	
11/17/2025	08:27:20	65.00		---	177.52	182.74	181.19	26.067	26.067	26.067	26.067	1013.24	73.203	26.067	---	---	-178.106	21.712	21.330	21.479	0.935	363.655	574.628	480.608	7.259	7.494	7.321	7.322	
11/17/2025	08:27:25	70.00		---	177.51	182.74	181.07	26.065	26.065	26.065	26.065	1013.23	73.193	26.065	---	---	-178.282	21.714	21.331	21.487	0.932	363.674	574.674	480.758	7.263	7.498	7.353	7.287	
11/17/2025	08:27:30	75.00		---	177.48	182.69	180.95	26.067	26.067	26.067	26.067	1013.24	73.193	26.067	---	---	-178.294	21.715	21.333	21.494	0.930	363.698	574.717	480.908	7.292	7.535	7.337	7.310	
11/17/2025	08:27:35	80.00		---	177.42	182.65	180.81	26.072	26.072	26.072	26.072	1013.25	73.193	26.072	---	---	-178.505	21.718	21.335	21.501	0.926	363.715	574.759	481.056	7.292	7.552	7.320	7.318	
11/17/2025	08:27:40	85.00		---	177.35	182.60	180.69	26.075	26.075	26.075	26.075	1013.28	73.193	26.075	---	---	-178.650	21.721	21.337	21.508	0.929	363.718	574.802	481.227	7.285	7.545	7.278	7.326	
11/17/2025	08:27:45	90.00		---	177.32	182.58	180.57	26.076	26.076	26.076	26.076	1013.32	73.183	26.076	---	---	-178.483	21.723	21.338	21.515	0.932	363.720	574.850	481.382	7.297	7.508	7.269	7.344	
11/17/2025	08:27:50	95.00		---	177.33	182.56	180.47	26.074	26.074	26.074	26.074	1013.32	73.172	26.074	---	---	-178.281	21.723	21.340	21.522	0.933	363.723	574.900	481.508	7.312	7.518	7.286	7.313	
11/17/2025	08:27:55	100.00		---	177.30	182.53	180.35	26.075	26.075	26.075	26.075	1013.31	73.162	26.075	---	---	-178.131	21.724	21.341	21.529	0.932	363.734	575.011	481.626	7.324	7.496	7.300	7.345	
11/17/2025	08:28:00	105.00		---	177.28	182.52	180.24	26.076	26.076	26.076	26.076	1013.29	73.172	26.076	---	---	-178.282	21.725	21.342	21.536	0.930	363.756	575.122	481.763	7.319	7.496	7.330	7.324	
11/17/2025	08:28:05	110.00		---	177.23	182.48	180.12	26.079	26.079	26.079	26.079	1013.30	73.183	26.079	---	---	-178.050	21.728	21.343	21.542	0.931	363.775	575.226	481.920	7.276	7.486	7.350	7.334	
11/17/2025	08:28:10	115.00		---	177.19	182.44	180.00	26.084	26.084	26.084	26.084	1013.31	73.193	26.084	---	---	-177.968	21.729	21.344	21.549	0.927	363.802	575.272	482.075	7.274	7.523	7.364	7.301	
11/17/2025	08:28:15	120.00		---	177.11	182.38	179.88	26.087	26.087	26.087	26.087	1013.33	73.193	26.087	---	---	-177.817	21.733	21.347	21.555	0.927	363.838	575.314	482.182	7.272	7.579	7.339	7.294	
11/17/2025	08:28:20	125.00		---	177.07	182.35	179.81	26.087	26.087	26.087	26.087	1013.33	73.193	26.087	---	---	-177.959	21.736	21.349	21.560	0.926	363.889	575.356	482.272	7.302	7.574	7.297	7.302	
11/17/2025	08:28:25	130.00		---	177.05	182.31	179.73	26.087	26.087	26.087	26.087	1013.36	73.193	26.087	---	---	-178.049	21.737	21.351	21.564	0.929	363.924	575.383	482.361	7.271	7.586	7.306	7.332	
11/17/2025	08:28:30	135.00		---	177.05	182.30	179.67	26.084	26.084	26.084	26.084	1013.36	73.203	26.084	---	---	-178.278	21.738	21.353	21.569	0.931	363.950	575.410	482.466	7.272	7.554	7.289	7.342	
11/17/2025	08:28:35	140.00		---	177.04	182.31	179.59	26.081	26.081	26.081	26.081	1013.39	73.203	26.081	---	---	-178.464	21.739	21.353	21.575	0.936	363.964	575.431	482.572	7.278	7.577	7.293	7.349	
11/17/2025	08:28:40	145.00		---	177.03	182.33	179.49	26.077	26.077	26.077	26.077	1013.41	73.203	26.077	---	---	-178.553	21.741	21.353	21.582	0.937	363.983	575.468	482.668	7.274	7.580	7.264	7.323	
11/17/2025	08:28:45	150.00		---	177.00	182.34	179.41	26.078	26.078	26.078	26.078	1013.39	73.193	26.078	---	---	-178.461	21.743	21.352	21.587	0.936	363.993	575.502	482.759	7.278	7.616	7.304	7.307	
11/17/2025	08:28:50	155.00		---	176.96	182.31	179.34	26.077	26.077	26.077	26.077	1013.37	73.193	26.077	---	---	-178.262	21.746	21.354	21.592	0.933	364.004	575.532	482.846	7.267	7.599	7.307	7.304	
11/17/2025	08:28:55	160.00		---	176.92	182.31	179.32	26.077	26.077	26.077	26.077	1013.37	73.193	26.077	---	---	-178.200	21.748	21.354	21.593	0.933	364.010	575.557	482.926	7.303	7.582	7.308	7.306	
11/17/2025	08:29:00	165.00		---	176.91	182.28	179.28	26.075	26.075	26.075	26.075	1013.37	73.193	26.075	---	---	-178.329	21.749	21.356	21.596	0.931	364.013	575.586	483.005	7.292	7.570	7.307	7.324	
11/17/2025	08:29:05	170.00		---	176.90	182.29	179.24	26.074	26.074	26.074	26.074	1013.38	73.203	26.074	---	---	-178.387	21.750	21.356	21.599	0.929	364.013	575.621	483.077	7.307	7.588	7.317	7.313	
11/17/2025	08:29:10	175.00		---	176.87	182.25	179.18	26.076	26.076	26.076	26.076	1013.35	73.213	26.076	---	---	-178.291	21.752	21.358	21.602	0.926	364.014	575.653	483.149	7.296	7.581	7.332	7.299	
11/17/2025	08:29:15	180.00		---	176.86	182.22	179.12	26.075	26.075	26.075	26.075	1013.37	73.223	26.075	---	---	-178.131	21.752	21.360	21.606	0.926	364.021	575.678	483.214	7.264	7.564	7.332	7.300	
11/17/2025	08:29:20	185.00		---	176.82	182.19	179.05	26.077	26.077	26.077	26.077	1013.34	73.223	26.077	---	---	-178.146	21.754	21.361	21.610	0.929	364.027	575.704	483.287	7.259	7.499	7.329	7.324	
11/17/2025	08:29:25	190.00		---	176.80	182.18	179.01	26.076	26.076	26.076	26.076	1013.33	73.223	26.076	---	---	-178.111	21.756	21.363	21.613	0.931	364.056	575.734	483.353	7.269	7.524	7.328	7.365	
11/17/2025	08:29:30	195.00		---	176.75	182.19	178.94	26.076	26.076	26.076	26.076	1013.32	73.213	26.076	---	---	-178.201	21.759	21.362	21.617	0.933	364.079	575.769	483.424	7.305	7.525	7.332	7.384	
11/17/2025	08:29:35	200.00		---	176.73	182.19	178.89	26.076	26.076	26.076	26.076	1013.35	73.203	26.076	---	---	-178.166	21.761	21.362	21.621	0.934	364.100	575.808	483.489	7.296	7.552	7.325	7.346	
11/17/2025	08:29:40	205.00		---	176.70	182.18	178.81	26.074	26.074	26.074	26.074	1013.39	73.193	26.074	---	---	-178.512	21.763	21.363	21.626	0.934	364.099	575.840	483.559	7.279	7.531	7.315	7.334	
11/17/2025	08:29:45	210.00		---	176.70	182.16	178.78	26.073	26.073	26.073	26.073	1013.38	73.183	26.073	---	---	-178.409	21.763	21.365	21.628	0.934	364.097	575.870	483.627	7.271	7.492	7.275	7.301	
11/17/2025	08:29:50	215.00		---	176.69	182.11	178.76	26.072	26.072	26.072	26.072	1013.34	73.172	26.072	---	---	-178.534	21.764	21.368	21.630	0.934	364.099	575.894	483.696	7.274	7.460	7.282	7.342	
11/17/2025	08:29:55	220.00		---	176.67	182.09	178.73	26.070	26.070	26.070	26.070	1013.30	73.162	26.070	---	---	-178.212	21.766	21.369	21.632	0.935	364.100	575.926	483.757	7.283	7.449	7.273	7.303	
11/17/2025	08:30:00	225.00		---	176.65	182.07	178.68	26.070	26.070	26.070	26.070	1013.31	73.162	26.070	---	---	-178.294	21.767	21.371	21.635	0.932	364.102	575.951	483.813	7.300	7.518	7.296	7.289	
11/17/2025	08:30:05	230.00		---	176.62	182.09	178.64	26.070	26.070	26.070	26.070	1013.32	73.162	26.070	---	---	-178.186	21.769	21.370	21.638	0.930	364.101	575.984	483.870	7.307	7.580	7.303	7.256	
11/17/2025	08:30:10	235.00		---	176.61	182.06	178.59	26.072	26.072	26.072	26.072	1013.33	73.162	26.072	---	---	-178.151	21.769	21.371	21.641	0.929	364.101	576.003	483.917	7.307	7.614	7.318	7.301	
11/17/2025	08:30:15	240.00		---	176.59	182.05	178.56	26.072	26.072	26.072	26.072	1013.30	73.162	26.072	---	---	-178.318	21.771	21.372	21.642	0.933	364.092	576.090	483.968	7.299	7.611	7.292	7.324	
11/17/2025	08:30:20	245.00		---	176.59	182.05	178.52	26.073	26.073	26.073	26.073	1013.33	73.172	26.073	---	---	-178.339	21.770	21.371	21.645	0.937	364.081	576.175	484.001	7.286	7.609	7.290	7.346	
11/17/2025	08:30:25	250.00		---	176.58	182.05	178.48	26.074	26.074	26.074	26.074	1013.30	73.183	26.074	---	---	-178.476	21.771	21.371	21.647	0.939	364.073	576.265	484.044	7.281	7.600	7.309	7.312	
11/17/2025	08:30:30	255.00		---	176.57	182.02	178.42	26.075	26.075	26.075	26.075	1013.33	73.193	26.075	---	---	-178.304	21.771	21.373	21.650	0.935	364.070	576.288	484.082	7.288	7.577	7.314	7.284	
11/17/2025	08:30:35	260.00		---	176.54	181.99	178.36	26.076	26.076	26.076	26.076	1013.33	73.193	26.076	---	---	-178.386	21.773	21.374	21.654	0.934	364.070	576.313	484.127	7.294	7.578	7.293	7.269	
11/17/2025	08:30:40	265.00		---	176.53	181.99	178.33	26.075	26.075	26.075	26.075	1013.33	73.193	26.075	---	---	-178.423	21.774	21.374	21.656	0.932	364.068	576.342	484.176	7.295	7.578	7.275	7.303	
11/17/2025	08:30:45	270.00		---	176.54	182.00	178.31	26.073	26.073	26.073	26.073	1013.30	73.193	26.073	---	---	-178.384	21.774	21.374	21.658	0.938	364.065	576.372	484.218	7.254	7.548	7.293	7.314	
11/17/2025	08:30:50	275.00		---	176.53	181.97	178.27	26.073	26.073	26.073	26.073	1013.25	73.193	26.073	---	---	-178.276	21.774	21.376	21.660	0.936	364.058	576.393	484.273	7.262	7.521	7.298	7.303	
11/17/2025	08:30:55	280.00		---	176.53	181.97	178.23	26.072	26.072	26.072	26.072	1013.25	73.193	26.072	---	---	-178.158	21.774	21.377	21.663	0.936	364.063	576.410	484.336	7.275	7.509	7.279	7.305	
11/17/2025	08:31:00	285.00		---	176.51	181.95	178.18	26.073	26.073	26.073	26.073	1013.29	73.193	26.073	---	---	-178.157	21.775	21.377	21.666	0.934	364.069	576.425	484.407	7.306	7.560	7.301	7.318	
11/17/2025	08:31:05	290.00		---	176.52	181.96	178.16	26.071	26.071	26.071	26.071	1013.35	73.193	26.071	---	---	-178.203	21.775	21.377	21.668	0.935	364.081	576.447	484.460	7.269	7.531	7.295	7.367	
11/17/2025	08:31:10	295.00		---	176.52	181.96	178.15	26.069	26.069	26.069	26.069	1013.36	73.193	26.069	---	---	-178.220	21.776	21.378	21.669	0.932	364.073	576.467	484.495	7.266	7.555	7.313	7.340	
11/17/2025	08:31:15	300.00		---	176.50	181.96	178.11	26.068	26.068	26.068	26.068	1013.32	73.193	26.068	---	---	-178.326	21.777	21.378	21.672	0.932	364.073	576.494	484.543	7.276	7.502	7.292	7.324	
11/17/2025	08:31:20	305.00		---	176.49	181.95	178.08	26.067	26.067	26.067	26.067	1013.30	73.203	26.067	---	---	-178.277	21.778	21.379	21.674	0.929	364.066	576.513	484.581	7.275	7.504	7.335	7.327	
11/17/2025	08:31:25	310.00		---	176.47	181.92	178.05	26.067	26.067	26.067	26.067	1013.31	73.213	26.067	---	---	-178.301	21.780	21.381	21.676	0.931	364.065	576.533	484.624	7.240	7.477	7.318	7.337	
11/17/2025	08:31:30	315.00		---	176.46	181.92	178.04	26.066	26.066	26.066	26.066	1013.34	73.231	26.066	---	---	-178.088	21.780	21.381	21.677	0.933	364.057	576.549	484.649	7.232	7.474	7.321	7.330	
11/17/2025	08:31:35	320.00		---	176.46	181.91	178.02	26.066	26.066	26.066	26.066	1013.35	73.231	26.066	---	---	-177.924	21.781	21.382	21.678	0.934	364.056	576.574	484.700	7.273	7.519	7.320	7.306	
11/17/2025	08:31:40	325.00		---	176.43	181.93	177.96	26.067	26.067	26.067	26.067	1013.35	73.231	26.067	---	---	-178.007	21.782	21.380	21.681	0.937	364.048	576.603	484.747	7.302	7.510	7.332	7.328	
11/17/2025	08:31:45	330.00		---	176.45	181.90	177.95	26.067	26.067	26.067	26.067	1013.33	73.213	26.067	---	---	-178.058	21.781	21.382	21.683	0.933	364.045	576.627	484.789	7.305	7.565	7.316	7.342	
11/17/2025	08:31:50	335.00		---	176.43	181.89	177.91	26.066	26.066	26.066	26.066	1013.33	73.203	26.066	---	---	-178.375	21.782	21.383	21.685	0.936	364.039	576.647	484.828	7.291	7.571	7.295	7.338	
11/17/2025	08:31:55	340.00		---	176.45	181.87	177.91	26.062	26.062	26.062	26.062	1013.31	73.193	26.062	---	---	-178.227	21.782	21.386	21.686	0.931	364.041	576.666	484.858	7.287	7.580	7.302	7.329	
11/17/2025	08:32:00	345.00		---	176.44	181.86	177.87	26.062	26.062	26.062	26.062	1013.32	73.193	26.062	---	---	-178.236	21.783	21.386	21.689	0.932	364.035	576.758	484.919	7.278	7.568	7.291	7.355	
11/17/2025	08:32:05	350.00		---	176.43	181.85	177.84	26.063	26.063	26.063	26.063	1013.33	73.183	26.063	---	---	-178.315	21.783	21.386	21.691	0.932	364.031	576.848	484.964	7.274	7.511	7.275	7.375	
11/17/2025	08:32:10	355.00		---	176.42	181.83	177.81	26.065	26.065	26.065	26.065	1013.36	73.165	26.065	---	---	-178.475	21.783	21.387	21.692	0.939	364.028	576.931	485.020	7.267	7.507	7.250	7.331	
11/17/2025	08:32:15	360.00		---	176.39	181.81	177.79	26.065	26.065	26.065	26.065	1013.35	73.147	26.065	---	---	-178.679	21.785	21.388	21.693	0.943	364.020	576.950	485.058	7.262	7.502	7.269	7.329	
11/17/2025	08:32:20	365.00		---	176.39	181.78	177.77	26.067	26.067	26.067	26.067	1013.30	73.139	26.067	---	---	-178.408	21.785	21.390	21.694	0.941	364.019	576.971	485.098	7.278	7.562	7.269	7.288	
11/17/2025	08:32:25	370.00		---	176.36	181.77	177.74	26.066	26.066	26.066	26.066	1013.31	73.129	26.066	---	---	-178.399	21.787	21.390	21.696	0.937	364.012	576.995	485.132	7.282	7.565	7.269	7.329	
11/17/2025	08:32:30	375.00		---	176.37	181.77	177.73	26.064	26.064	26.064	26.064	1013.33	73.119	26.064	---	---	-178.273	21.787	21.391	21.697	0.932	364.012	577.008	485.159	7.300	7.584	7.263	7.299	
11/17/2025	08:32:35	380.00		---	176.40	181.80	177.76	26.058	26.058	26.058	26.058	1013.37	73.109	26.058	---	---	-178.301	21.786	21.391	21.697	0.934	364.007	577.026	485.184	7.298	7.568	7.262	7.302	
11/17/2025	08:32:40	385.00		---	176.41	181.78	177.77	26.056	26.056	26.056	26.056	1013.38	73.109	26.056	---	---	-178.095	21.786	21.392	21.697	0.931	364.001	577.040	485.192	7.311	7.569	7.301	7.284	
11/17/2025	08:32:45	390.00		---	176.38	181.78	177.73	26.056	26.056	26.056	26.056	1013.39	73.119	26.056	---	---	-178.114	21.788	21.393	21.699	0.931	363.995	577.063	485.214	7.302	7.577	7.328	7.287	
11/17/2025	08:32:50	395.00		---	176.34	181.77	177.69	26.057	26.057	26.057	26.057	1013.41	73.119	26.057	---	---	-178.152	21.791	21.393	21.702	0.931	363.983	577.079	485.222	7.263	7.580	7.352	7.313	
11/17/2025	08:32:55	400.00		---	176.32	181.77	177.67	26.057	26.057	26.057	26.057	1013.40	73.119	26.057	---	---	-178.064	21.792	21.393	21.703	0.934	363.978	577.101	485.266	7.273	7.542	7.326	7.316	
11/17/2025	08:33:00	405.00		---	176.34	181.75	177.65	26.055	26.055	26.055	26.055	1013.38	73.109	26.055	---	---	-178.125	21.791	21.395	21.705	0.933	363.976	577.121	485.277	7.277	7.506	7.307	7.303	
11/17/2025	08:33:05	410.00		---	176.35	181.69	177.65	26.056	26.056	26.056	26.056	1013.34	73.109	26.056	---	---	-178.179	21.790	21.398	21.704	0.934	363.973	577.144	485.317	7.310	7.493	7.290	7.277	
11/17/2025	08:33:10	415.00		---	176.35	181.69	177.65	26.053	26.053	26.053	26.053	1013.33	73.099	26.053	---	---	-178.372	21.791	21.399	21.705	0.933	363.969	577.161	485.334	7.296	7.528	7.327	7.269	
11/17/2025	08:33:15	420.00		---	176.32	181.71	177.66	26.054	26.054	26.054	26.054	1013.35	73.081	26.054	---	---	-178.287	21.792	21.398	21.704	0.933	363.960	577.185	485.348	7.298	7.535	7.302	7.288	
11/17/2025	08:33:20	425.00		---	176.31	181.70	177.64	26.053	26.053	26.053	26.053	1013.37	73.053	26.053	---	---	-178.352	21.794	21.398	21.706	0.934	363.950	577.205	485.368	7.263	7.532	7.315	7.284	
11/17/2025	08:33:25	430.00		---	176.30	181.65	177.62	26.056	26.056	26.056	26.056	1013.36	73.035	26.056	---	---	-178.553	21.794	21.401	21.706	0.937	363.941	577.229	485.393	7.261	7.550	7.265	7.308	
11/17/2025	08:33:30	435.00		---	176.31	181.63	177.59	26.055	26.055	26.055	26.055	1013.34	73.025	26.055	---	---	-178.620	21.793	21.402	21.708	0.940	363.935	577.252	485.418	7.251	7.542	7.287	7.298	
11/17/2025	08:33:35	440.00		---	176.29	181.63	177.58	26.055	26.055	26.055	26.055	1013.32	73.015	26.055	---	---	-178.536	21.794	21.402	21.709	0.938	363.934	577.276	485.448	7.293	7.545	7.279	7.312	
11/17/2025	08:33:40	445.00		---	176.29	181.66	177.57	26.054	26.054	26.054	26.054	1013.34	73.004	26.054	---	---	-178.379	21.794	21.401	21.710	0.932	363.938	577.304	485.457	7.263	7.497	7.292	7.283	
11/17/2025	08:33:45	450.00		---	176.29	181.65	177.56	26.055	26.055	26.055	26.055	1013.35	72.994	26.055	---	---	-178.175	21.794	21.401	21.710	0.929	363.941	577.323	485.486	7.264	7.514	7.276	7.324	
11/17/2025	08:33:50	455.00		---	176.27	181.63	177.54	26.055	26.055	26.055	26.055	1013.39	72.986	26.055	---	---	-178.150	21.795	21.402	21.712	0.932	363.936	577.341	485.487	7.262	7.520	7.276	7.331	
11/17/2025	08:33:55	460.00		---	176.25	181.61	177.52	26.057	26.057	26.057	26.057	1013.39	72.979	26.057	---	---	-177.976	21.797	21.403	21.712	0.930	363.932	577.352	485.525	7.267	7.554	7.278	7.367	
11/17/2025	08:34:00	465.00		---	176.25	181.59	177.53	26.056	26.056	26.056	26.056	1013.40	72.971	26.056	---	---	-178.029	21.797	21.405	21.712	0.929	363.930	577.366	485.561	7.276	7.569	7.298	7.336	
11/17/2025	08:34:05	470.00		---	176.26	181.55	177.54	26.057	26.057	26.057	26.057	1013.41	72.971	26.057	---	---	-178.032	21.796	21.407	21.711	0.927	363.933	577.381	485.602	7.282	7.578	7.297	7.327	
11/17/2025	08:34:10	475.00		---	176.24	181.54	177.51	26.057	26.057	26.057	26.057	1013.43	72.961	26.057	---	---	-178.146	21.797	21.407	21.713	0.929	363.928	577.399	485.606	7.315	7.542	7.286	7.307	
11/17/2025	08:34:15	480.00		---	176.21	181.52	177.49	26.058	26.058	26.058	26.058	1013.45	72.951	26.058	---	---	-178.180	21.799	21.408	21.714	0.932	363.926	577.418	485.635	7.303	7.547	7.271	7.335	
11/17/2025	08:34:20	485.00		---	176.20	181.53	177.45	26.057	26.057	26.057	26.057	1013.44	72.941	26.057	---	---	-178.100	21.800	21.408	21.717	0.929	363.928	577.438	485.654	7.294	7.548	7.306	7.375	
11/17/2025	08:34:25	490.00		---	176.21	181.50	177.43	26.057	26.057	26.057	26.057	1013.42	72.941	26.057	---	---	-178.091	21.799	21.410	21.718	0.927	363.933	577.459	485.690	7.299	7.601	7.331	7.372	
11/17/2025	08:34:30	495.00		---	176.18	181.50	177.40	26.057	26.057	26.057	26.057	1013.40	72.931	26.057	---	---	-177.955	21.801	21.410	21.720	0.923	363.933	577.480	485.718	7.321	7.548	7.352	7.349	
11/17/2025	08:34:35	500.00		---	176.16	181.48	177.38	26.060	26.060	26.060	26.060	1013.40	72.920	26.060	---	---	-178.131	21.801	21.410	21.721	0.925	363.931	577.497	485.735	7.320	7.546	7.334	7.327	
11/17/2025	08:34:40	505.00		---	176.13	181.47	177.35	26.063	26.063	26.063	26.063	1013.43	72.902	26.063	---	---	-178.242	21.802	21.410	21.722	0.932	363.930	577.517	485.753	7.314	7.530	7.324	7.302	
11/17/2025	08:34:45	510.00		---	176.12	181.48	177.34	26.065	26.065	26.065	26.065	1013.42	72.895	26.065	---	---	-178.440	21.802	21.409	21.722	0.936	363.930	577.534	485.753	7.312	7.552	7.305	7.302	
