dt_s,oxygen_umolL_Ch4,temp_C_Ch4,pressure_mbar_Ch4,oxygen_umolL_Ch1,temp_C_Ch1,pressure_mbar_Ch1,oxygen_umolL_Ch2,temp_C_Ch2,pressure_mbar_Ch2,oxygen_umolL_Ch3,temp_C_Ch3,pressure_mbar_Ch3,hours,Temp,Ch1,Ch2,Ch3,Ch4
0.839,,,,,,,229.459,26.084,1015.0,,,,0.0002330555555555,26.084,,229.459,,
0.917,,,,208.749,26.084,1015.0,,,,,,,0.0002547222222222,26.084,208.749,,,
0.988,205.559,26.083,1015.0,,,,,,,,,,0.0002744444444444,26.083,,,,205.559
1.061,,,,,,,,,,209.184,26.083,1015.0,0.0002947222222222,26.083,,,209.184,
10.843,,,,,,,229.54,26.085,1015.0,,,,0.0030119444444444,26.085,,229.54,,
10.922,,,,208.898,26.085,1015.0,,,,,,,0.0030338888888888,26.085,208.898,,,
10.995,205.414,26.085,1015.0,,,,,,,,,,0.0030541666666666,26.085,,,,205.414
100.847,,,,,,,228.988,26.079,1015.0,,,,0.0280130555555555,26.079,,228.988,,
100.925,205.025,26.079,1015.0,,,,,,,,,,0.0280347222222222,26.079,,,,205.025
100.998,,,,208.737,26.079,1015.0,,,,,,,0.028055,26.079,208.737,,,
1000.891,202.58,26.068,1015.0,,,,,,,,,,0.2780252777777777,26.068,,,,202.58
1000.964,,,,208.602,26.068,1015.0,,,,,,,0.2780455555555555,26.068,208.602,,,
10001.185,179.272,25.842,1015.0,,,,,,,,,,2.778106944444444,25.842,,,,179.272
10001.259,,,,,,,190.388,25.842,1015.0,,,,2.7781275,25.842,,190.388,,
10001.333,,,,,,,,,,191.268,25.843,1015.0,2.7781480555555556,25.843,,,191.268,
10001.406,,,,206.214,25.843,1015.0,,,,,,,2.778168333333334,25.843,206.214,,,
10006.183,179.075,25.846,1015.0,,,,,,,,,,2.779495277777778,25.846,,,,179.075
10006.256,,,,,,,190.403,25.846,1015.0,,,,2.7795155555555553,25.846,,190.403,,
10006.332,,,,,,,,,,191.341,25.846,1015.0,2.7795366666666665,25.846,,,191.341,
10006.407,,,,206.084,25.846,1015.0,,,,,,,2.7795574999999997,25.846,206.084,,,
1001.037,,,,,,,,,,204.598,26.068,1015.0,0.2780658333333333,26.068,,,204.598,
1001.112,,,,,,,224.054,26.068,1015.0,,,,0.2780866666666666,26.068,,224.054,,
10011.182,179.154,25.843,1015.0,,,,,,,,,,2.780883888888889,25.843,,,,179.154
10011.257,,,,,,,190.314,25.843,1015.0,,,,2.780904722222222,25.843,,190.314,,
10011.332,,,,,,,,,,191.286,25.843,1015.0,2.7809255555555557,25.843,,,191.286,
10011.407,,,,206.094,25.844,1015.0,,,,,,,2.780946388888889,25.844,206.094,,,
10016.183,179.11,25.842,1015.0,,,,,,,,,,2.7822730555555557,25.842,,,,179.11
10016.255,,,,,,,190.527,25.842,1015.0,,,,2.7822930555555554,25.842,,190.527,,
10016.33,,,,,,,,,,191.203,25.842,1015.0,2.782313888888889,25.842,,,191.203,
10016.404,,,,206.143,25.842,1015.0,,,,,,,2.7823344444444444,25.842,206.143,,,
10021.182,178.973,25.84,1015.0,,,,,,,,,,2.7836616666666667,25.84,,,,178.973
10021.256,,,,,,,190.498,25.841,1015.0,,,,2.783682222222222,25.841,,190.498,,
10021.332,,,,,,,,,,191.261,25.841,1015.0,2.7837033333333334,25.841,,,191.261,
10021.405,,,,206.091,25.841,1015.0,,,,,,,2.783723611111111,25.841,206.091,,,
10026.182,178.926,25.843,1015.0,,,,,,,,,,2.785050555555556,25.843,,,,178.926
10026.254,,,,,,,190.488,25.843,1015.0,,,,2.785070555555556,25.843,,190.488,,
10026.33,,,,,,,,,,191.268,25.843,1015.0,2.7850916666666667,25.843,,,191.268,
10026.404,,,,206.08,25.843,1015.0,,,,,,,2.785112222222222,25.843,206.08,,,
10031.181,178.843,25.84,1015.0,,,,,,,,,,2.786439166666667,25.84,,,,178.843
