#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial7-light-newbox-
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#--- Measurement Data --------------------------------------------------------------------
Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]
17-11-2025	08:26:45.028	0.037	26.085	OK
17-11-2025	08:26:50.028	5.037	26.081	OK
17-11-2025	08:26:55.028	10.037	26.087	OK
17-11-2025	08:27:00.028	15.037	26.078	OK
17-11-2025	08:27:05.028	20.037	26.082	OK
17-11-2025	08:27:10.027	25.037	26.079	OK
17-11-2025	08:27:15.028	30.038	26.081	OK
17-11-2025	08:27:20.027	35.037	26.081	OK
17-11-2025	08:27:25.027	40.037	26.081	OK
17-11-2025	08:27:30.027	45.037	26.078	OK
17-11-2025	08:27:35.027	50.037	26.081	OK
17-11-2025	08:27:40.027	55.037	26.081	OK
17-11-2025	08:27:45.029	60.039	26.080	OK
17-11-2025	08:27:50.028	65.038	26.078	OK
17-11-2025	08:27:55.028	70.038	26.079	OK
17-11-2025	08:28:00.028	75.038	26.079	OK
17-11-2025	08:28:05.031	80.040	26.081	OK
17-11-2025	08:28:10.030	85.040	26.081	OK
17-11-2025	08:28:15.030	90.040	26.079	OK
17-11-2025	08:28:20.031	95.041	26.084	OK
17-11-2025	08:28:25.032	100.041	26.079	OK
17-11-2025	08:28:30.032	105.042	26.079	OK
17-11-2025	08:28:35.040	110.050	26.081	OK
17-11-2025	08:28:40.032	115.042	26.078	OK
17-11-2025	08:28:45.032	120.042	26.082	OK
17-11-2025	08:28:50.032	125.042	26.081	OK
17-11-2025	08:28:55.033	130.043	26.079	OK
17-11-2025	08:29:00.033	135.042	26.081	OK
17-11-2025	08:29:05.033	140.043	26.081	OK
17-11-2025	08:29:10.033	145.042	26.079	OK
17-11-2025	08:29:15.034	150.043	26.078	OK
17-11-2025	08:29:20.034	155.044	26.080	OK
17-11-2025	08:29:25.046	160.055	26.081	OK
17-11-2025	08:29:30.035	165.045	26.075	OK
17-11-2025	08:29:35.036	170.045	26.077	OK
17-11-2025	08:29:40.036	175.046	26.079	OK
17-11-2025	08:29:45.035	180.044	26.078	OK
17-11-2025	08:29:50.036	185.045	26.082	OK
17-11-2025	08:29:55.035	190.045	26.078	OK
17-11-2025	08:30:00.037	195.047	26.080	OK
17-11-2025	08:30:05.037	200.047	26.079	OK
17-11-2025	08:30:10.037	205.047	26.075	OK
17-11-2025	08:30:15.037	210.047	26.078	OK
17-11-2025	08:30:20.037	215.047	26.077	OK
17-11-2025	08:30:25.037	220.047	26.084	OK
17-11-2025	08:30:30.036	225.046	26.076	OK
17-11-2025	08:30:35.038	230.048	26.079	OK
17-11-2025	08:30:40.037	235.046	26.078	OK
17-11-2025	08:30:45.036	240.046	26.078	OK
17-11-2025	08:30:50.037	245.047	26.077	OK
17-11-2025	08:30:55.037	250.047	26.078	OK
17-11-2025	08:31:00.037	255.047	26.076	OK
17-11-2025	08:31:05.038	260.048	26.079	OK
17-11-2025	08:31:10.038	265.048	26.077	OK
17-11-2025	08:31:15.039	270.048	26.076	OK
17-11-2025	08:31:20.039	275.049	26.077	OK
17-11-2025	08:31:25.039	280.049	26.083	OK
17-11-2025	08:31:30.040	285.050	26.077	OK
17-11-2025	08:31:35.041	290.050	26.081	OK
17-11-2025	08:31:40.040	295.050	26.077	OK
17-11-2025	08:31:45.040	300.050	26.077	OK
17-11-2025	08:31:50.040	305.050	26.078	OK
17-11-2025	08:31:55.041	310.051	26.081	OK
17-11-2025	08:32:00.041	315.051	26.077	OK
17-11-2025	08:32:05.041	320.051	26.077	OK
17-11-2025	08:32:10.042	325.052	26.075	OK
17-11-2025	08:32:15.042	330.051	26.076	OK
17-11-2025	08:32:20.041	335.051	26.077	OK
17-11-2025	08:32:25.041	340.050	26.076	OK
17-11-2025	08:32:30.042	345.052	26.080	OK
17-11-2025	08:32:35.044	350.054	26.079	OK
17-11-2025	08:32:40.043	355.053	26.082	OK
17-11-2025	08:32:45.044	360.053	26.081	OK
17-11-2025	08:32:50.043	365.053	26.076	OK
17-11-2025	08:32:55.045	370.055	26.077	OK
17-11-2025	08:33:00.046	375.055	26.077	OK
17-11-2025	08:33:05.044	380.054	26.079	OK
17-11-2025	08:33:10.046	385.056	26.075	OK
17-11-2025	08:33:15.046	390.056	26.078	OK
17-11-2025	08:33:20.046	395.055	26.075	OK
17-11-2025	08:33:25.046	400.056	26.075	OK
17-11-2025	08:33:30.047	405.057	26.075	OK
17-11-2025	08:33:35.046	410.056	26.076	OK
17-11-2025	08:33:40.046	415.056	26.075	OK
17-11-2025	08:33:45.046	420.056	26.071	OK
17-11-2025	08:33:50.045	425.055	26.075	OK
17-11-2025	08:33:55.047	430.057	26.075	OK
17-11-2025	08:34:00.046	435.056	26.074	OK
17-11-2025	08:34:05.047	440.057	26.075	OK
17-11-2025	08:34:10.047	445.057	26.074	OK
17-11-2025	08:34:15.047	450.057	26.076	OK
17-11-2025	08:34:20.048	455.057	26.078	OK
17-11-2025	08:34:25.047	460.057	26.075	OK
17-11-2025	08:34:30.048	465.058	26.076	OK
17-11-2025	08:34:35.047	470.057	26.077	OK
17-11-2025	08:34:40.048	475.057	26.075	OK
17-11-2025	08:34:45.047	480.057	26.075	OK
17-11-2025	08:34:50.047	485.057	26.074	OK
17-11-2025	08:34:55.048	490.057	26.077	OK
17-11-2025	08:35:00.047	495.057	26.074	OK
17-11-2025	08:35:05.047	500.057	26.076	OK
17-11-2025	08:35:10.047	505.057	26.077	OK
17-11-2025	08:35:15.049	510.059	26.078	OK
17-11-2025	08:35:20.047	515.057	26.075	OK
17-11-2025	08:35:25.049	520.059	26.076	OK
17-11-2025	08:35:30.048	525.057	26.079	OK
17-11-2025	08:35:35.049	530.058	26.075	OK
17-11-2025	08:35:40.049	535.059	26.078	OK
17-11-2025	08:35:45.049	540.059	26.076	OK
17-11-2025	08:35:50.048	545.058	26.074	OK
17-11-2025	08:35:55.049	550.059	26.074	OK
17-11-2025	08:36:00.050	555.060	26.074	OK
17-11-2025	08:36:05.049	560.059	26.072	OK
17-11-2025	08:36:10.049	565.059	26.074	OK
17-11-2025	08:36:15.049	570.059	26.076	OK
17-11-2025	08:36:20.050	575.060	26.069	OK
17-11-2025	08:36:25.052	580.062	26.076	OK
17-11-2025	08:36:30.050	585.059	26.076	OK
17-11-2025	08:36:35.050	590.060	26.076	OK
17-11-2025	08:36:40.050	595.060	26.074	OK
17-11-2025	08:36:45.050	600.059	26.075	OK
17-11-2025	08:36:50.051	605.061	26.076	OK
17-11-2025	08:36:55.051	610.061	26.073	OK
17-11-2025	08:37:00.049	615.059	26.075	OK
17-11-2025	08:37:05.050	620.060	26.078	OK
17-11-2025	08:37:10.050	625.060	26.072	OK
17-11-2025	08:37:15.051	630.061	26.073	OK
17-11-2025	08:37:20.050	635.059	26.075	OK
17-11-2025	08:37:25.051	640.061	26.072	OK
17-11-2025	08:37:30.051	645.060	26.071	OK
17-11-2025	08:37:35.051	650.061	26.073	OK
17-11-2025	08:37:40.050	655.060	26.075	OK
17-11-2025	08:37:45.052	660.062	26.075	OK
17-11-2025	08:37:50.051	665.060	26.072	OK
17-11-2025	08:37:55.052	670.062	26.070	OK
17-11-2025	08:38:00.051	675.061	26.076	OK
17-11-2025	08:38:05.051	680.061	26.073	OK
17-11-2025	08:38:10.051	685.061	26.076	OK
17-11-2025	08:38:15.053	690.062	26.072	OK
17-11-2025	08:38:20.052	695.062	26.072	OK
17-11-2025	08:38:25.052	700.062	26.074	OK
17-11-2025	08:38:30.051	705.061	26.071	OK
17-11-2025	08:38:35.051	710.061	26.072	OK
17-11-2025	08:38:40.057	715.066	26.075	OK
17-11-2025	08:38:45.054	720.064	26.072	OK
17-11-2025	08:38:50.054	725.063	26.073	OK
17-11-2025	08:38:55.054	730.064	26.071	OK
17-11-2025	08:39:00.054	735.064	26.073	OK
17-11-2025	08:39:05.054	740.064	26.070	OK
17-11-2025	08:39:10.053	745.063	26.072	OK
17-11-2025	08:39:15.054	750.063	26.072	OK
17-11-2025	08:39:20.054	755.063	26.066	OK
17-11-2025	08:39:25.054	760.063	26.068	OK
17-11-2025	08:39:30.054	765.064	26.070	OK
17-11-2025	08:39:35.055	770.064	26.069	OK
17-11-2025	08:39:40.054	775.064	26.069	OK
17-11-2025	08:39:45.056	780.066	26.070	OK
17-11-2025	08:39:50.055	785.065	26.068	OK
17-11-2025	08:39:55.056	790.066	26.070	OK
17-11-2025	08:40:00.055	795.065	26.074	OK
17-11-2025	08:40:05.056	800.066	26.067	OK
17-11-2025	08:40:10.055	805.065	26.070	OK
17-11-2025	08:40:15.056	810.066	26.070	OK
17-11-2025	08:40:20.055	815.065	26.069	OK
17-11-2025	08:40:25.056	820.066	26.071	OK
17-11-2025	08:40:30.056	825.066	26.071	OK
17-11-2025	08:40:35.059	830.069	26.071	OK
17-11-2025	08:40:40.057	835.067	26.072	OK
17-11-2025	08:40:45.058	840.068	26.069	OK
17-11-2025	08:40:50.063	845.073	26.069	OK
17-11-2025	08:40:55.059	850.069	26.073	OK
17-11-2025	08:41:00.060	855.070	26.072	OK
17-11-2025	08:41:05.058	860.068	26.071	OK
17-11-2025	08:41:10.059	865.069	26.073	OK
17-11-2025	08:41:15.058	870.068	26.072	OK
17-11-2025	08:41:20.058	875.068	26.070	OK
17-11-2025	08:41:25.058	880.068	26.071	OK
17-11-2025	08:41:30.058	885.068	26.071	OK
17-11-2025	08:41:35.058	890.067	26.070	OK
17-11-2025	08:41:40.058	895.068	26.069	OK
17-11-2025	08:41:45.058	900.068	26.072	OK
17-11-2025	08:41:50.058	905.068	26.071	OK
17-11-2025	08:41:55.058	910.068	26.070	OK
17-11-2025	08:42:00.058	915.068	26.068	OK
17-11-2025	08:42:05.058	920.068	26.071	OK
17-11-2025	08:42:10.057	925.067	26.066	OK
