seconds,hours,Ch1,Ch2,Ch3,Ch4,Temp
0,0,175.87,171.47,187.19,180.94,26.725
5,0.001388889,175.87,171.45,187.19,180.98,26.725
10,0.002777778,175.87,171.43,187.18,181.02,26.725
15,0.004166667,175.89,171.42,187.19,181.03,26.725
20,0.005555556,175.91,171.41,187.15,181.03,26.726
25,0.006944444,175.92,171.41,187.11,181.05,26.728
30,0.008333333,175.92,171.42,187.09,181.08,26.729
35.02,0.009727778,175.91,171.39,187.09,181.09,26.729
40.02,0.011116667,175.9,171.37,187.08,181.07,26.729
45.02,0.012505556,175.91,171.36,187.06,181.08,26.73
50.02,0.013894444,175.93,171.39,187.05,181.08,26.73
55.03,0.015286111,175.94,171.4,187.04,181.11,26.73
60.02,0.016672222,175.93,171.42,187.03,181.1,26.731
65.02,0.018061111,175.91,171.42,187,181.12,26.731
70.02,0.01945,175.93,171.41,186.99,181.12,26.73
75.02,0.020838889,175.95,171.41,186.98,181.16,26.726
80.02,0.022227778,175.94,171.4,186.98,181.17,26.727
85.02,0.023616667,175.93,171.43,186.98,181.18,26.728
90.02,0.025005556,175.94,171.44,186.96,181.17,26.729
95.02,0.026394444,175.97,171.48,186.95,181.18,26.726
100.03,0.027786111,175.97,171.47,186.93,181.17,26.726
105.02,0.029172222,175.98,171.48,186.92,181.19,26.727
110.02,0.030561111,176,171.48,186.89,181.21,26.728
115.02,0.03195,176.04,171.51,186.86,181.24,26.726
120.02,0.033338889,176.07,171.5,186.84,181.23,26.726
125.03,0.034730556,176.08,171.51,186.81,181.22,26.726
130.03,0.036119444,176.07,171.49,186.79,181.21,26.728
135.02,0.037505556,176.05,171.47,186.74,181.2,26.731
140.03,0.038897222,176.05,171.45,186.7,181.21,26.732
145.02,0.040283333,176.05,171.49,186.65,181.2,26.733
150.02,0.041672222,176.07,171.52,186.62,181.21,26.733
155.03,0.043063889,176.07,171.52,186.55,181.2,26.735
160.02,0.04445,176.08,171.51,186.47,181.19,26.736
165.03,0.045841667,176.09,171.51,186.38,181.2,26.736
170.02,0.047227778,176.08,171.53,186.28,181.2,26.736
175.02,0.048616667,176.1,171.54,186.18,181.2,26.736
180.03,0.050008333,176.15,171.56,186.04,181.19,26.736
185.02,0.051394444,176.16,171.57,185.9,181.19,26.736
190.01,0.052780556,176.15,171.6,185.75,181.19,26.736
195.01,0.054169444,176.13,171.61,185.66,181.19,26.736
200.02,0.055561111,176.13,171.63,185.58,181.19,26.737
205.02,0.05695,176.13,171.6,185.46,181.17,26.74
210.02,0.058338889,176.13,171.64,185.31,181.14,26.742
215.03,0.059730556,176.15,171.62,185.17,181.13,26.743
220.01,0.061113889,176.17,171.62,185.07,181.13,26.741
225.01,0.062502778,176.18,171.62,184.96,181.13,26.74
230.02,0.063894444,176.17,171.63,184.86,181.13,26.74
235.02,0.065283333,176.16,171.63,184.78,181.11,26.743
240.02,0.066672222,176.19,171.65,184.75,181.1,26.744
245.02,0.068061111,176.19,171.67,184.7,181.11,26.744
250.01,0.069447222,176.21,171.7,184.62,181.11,26.744
255.02,0.070838889,176.2,171.72,184.56,181.13,26.745
260.03,0.072230556,176.23,171.74,184.51,181.13,26.744
265.03,0.073619444,176.24,171.75,184.49,181.15,26.744
270.02,0.075005556,176.26,171.78,184.45,181.13,26.742
275.02,0.076394444,176.24,171.77,184.38,181.11,26.744
280.02,0.077783333,176.23,171.78,184.34,181.1,26.745
285.03,0.079175,176.2,171.76,184.31,181.08,26.749
290.02,0.080561111,176.21,171.78,184.29,181.05,26.75
295.02,0.08195,176.2,171.82,184.26,181.03,26.751
300.01,0.083336111,176.23,171.86,184.26,181.02,26.748
305.01,0.084725,176.22,171.88,184.24,181.02,26.751
310.02,0.086116667,176.24,171.91,184.22,181.03,26.749
315.02,0.087505556,176.24,171.95,184.21,181.03,26.751
320.03,0.088897222,176.25,171.98,184.24,181.04,26.748
